feature,xgb_imp,spearman_corr,spearman_abs_imp,perm_imp,shap_imp
连续高湿80天数,0.43040708,0.426369816166777,0.426369816166777,1.1178031929711918,
连续高湿天数,0.32059836,0.426369816166777,0.426369816166777,0.05072641280531069,
连续发病适温高湿天数,0.11049823,0.4697156102644947,0.4697156102644947,0.0031435139376244426,
土壤湿度(m3 m-3),0.059756108,0.13106979143308095,0.13106979143308095,0.04014468198597132,
弱风日连续天数,0.03704544,-0.22228317928898542,0.22228317928898542,0.04795987329543614,
累计降水_14d,0.014996022,0.1904762145238907,0.1904762145238907,0.00731442128383959,
0-10cm土壤相对湿度(percent),0.005520171,-0.025426136417272233,0.025426136417272233,0.0007498036176130318,
连续降雨天数,0.0032905843,0.3447073761941538,0.3447073761941538,0.0012342406512517723,
平均气温C_21d,0.0032517454,0.10774438497968257,0.10774438497968257,-0.0010151849725233309,
相对湿度_最低_%,0.0029397686,0.25427014123383646,0.25427014123383646,2.2338297544455266e-05,
24小时内最大降水量(mm),0.0018520822,0.17716267592656873,0.17716267592656873,-0.0014523469595703054,
24小时内降水量之和(mm),0.0017746458,0.1696162764342722,0.1696162764342722,-0.0006607466258999661,
平均相对湿度_21d,0.0015537624,0.3710956851391361,0.3710956851391361,0.008688131593023774,
平均风速_7d,0.0012840629,0.2908735742592402,0.2908735742592402,0.0011003852568091332,
2m比湿平均值(kg/kg),0.0011393926,0.20957033209607243,0.20957033209607243,0.0012729703358617338,
21天内高湿90天数,0.00044398554,0.3359106914562191,0.3359106914562191,0.002058056955256382,
过去7天有效积温_C,0.00042342613,0.04180895668444221,0.04180895668444221,6.896805842093734e-06,
短波辐射最大值(W/m2),0.00037285025,-0.07577981986441677,0.07577981986441677,-0.0003222443767015637,
10m风速最大值(m/s),0.0003170114,0.02789267017694916,0.02789267017694916,-0.00017226751851093792,
平均气温C_7d,0.00028571804,0.07996994939876718,0.07996994939876718,2.594235102975073e-05,
