模型,病害,指标类型,目标变量,feature,spearman_corr,spearman_abs_imp,spearman_rank
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,10m风速平均值(m/s),0.22412647696397994,0.22412647696397994,15
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,平均风速_7d,0.22350363903078585,0.22350363903078585,16
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,平均风速_21d,0.21074748586459427,0.21074748586459427,17
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,连续发病适温天数,0.013875668049457083,0.013875668049457083,18
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,7天最大单日降雨_mm,-0.013640246331689055,0.013640246331689055,19
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,0-10cm土壤相对湿度(percent),-0.008052290746044173,0.008052290746044173,20
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,土壤温度_C,-0.6730007676387773,0.6730007676387773,1
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,地表温度平均_C,-0.6629361096122726,0.6629361096122726,2
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,平均气温C_21d,-0.6532746114078177,0.6532746114078177,3
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,地表温度最低_C,-0.6369297011431657,0.6369297011431657,4
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,平均气温C_7d,-0.6294345408168559,0.6294345408168559,5
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,气温最低_C,-0.6000883118605751,0.6000883118605751,6
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,过去21天有效积温_C,-0.5735036399568503,0.5735036399568503,7
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,过去7天最低气温_C,-0.5501263473651583,0.5501263473651583,8
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,平均相对湿度_21d,0.38934369006382097,0.38934369006382097,9
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,2m比湿平均值(kg/kg),-0.37144400207443107,0.37144400207443107,10
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,平均相对湿度_14d,0.33408868792213586,0.33408868792213586,11
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,过去7天最低湿度_%,0.30535732980616964,0.30535732980616964,12
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,平均短波辐射21d,-0.3041662248386945,0.3041662248386945,13
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,平均风速_21d,0.25062305122747686,0.25062305122747686,14
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,土壤湿度(m3 m-3),0.23234741543550685,0.23234741543550685,15
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,过去7天平均风速_ms,0.22736333801964784,0.22736333801964784,16
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,10m风速平均值(m/s),0.21467142282564955,0.21467142282564955,17
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,弱风日连续天数,0.2064221247141226,0.2064221247141226,18
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,累计降水_21d,0.08545143755768302,0.08545143755768302,19
灰斑病_rate,灰斑病,发病株率,灰斑病发病株率,0-10cm土壤相对湿度(percent),-0.03287457903908139,0.03287457903908139,20
白斑病_index,白斑病,病情指数,白斑病病情指数,平均短波辐射21d,-0.5816344807708386,0.5816344807708386,1
白斑病_index,白斑病,病情指数,白斑病病情指数,21天内高湿80天数,0.534371361613534,0.534371361613534,2
白斑病_index,白斑病,病情指数,白斑病病情指数,平均相对湿度_21d,0.5098337555853593,0.5098337555853593,3
白斑病_index,白斑病,病情指数,白斑病病情指数,平均短波辐射7d,-0.48339412109237506,0.48339412109237506,4
白斑病_index,白斑病,病情指数,白斑病病情指数,平均相对湿度_14d,0.4650391383450851,0.4650391383450851,5
白斑病_index,白斑病,病情指数,白斑病病情指数,21天内高湿90天数,0.4493779814256358,0.4493779814256358,6
白斑病_index,白斑病,病情指数,白斑病病情指数,平均气温C_21d,-0.4407747619086285,0.4407747619086285,7
白斑病_index,白斑病,病情指数,白斑病病情指数,平均气温C_14d,-0.4263082250305823,0.4263082250305823,8
白斑病_index,白斑病,病情指数,白斑病病情指数,连续高湿80天数,0.4089744497675499,0.4089744497675499,9
白斑病_index,白斑病,病情指数,白斑病病情指数,平均气温C_7d,-0.4085032712741151,0.4085032712741151,10
白斑病_index,白斑病,病情指数,白斑病病情指数,过去21天有效积温_C,-0.39411757645433976,0.39411757645433976,11
白斑病_index,白斑病,病情指数,白斑病病情指数,弱风日连续天数,0.32188695516031185,0.32188695516031185,12
白斑病_index,白斑病,病情指数,白斑病病情指数,2m比湿平均值(kg/kg),-0.2683951398035018,0.2683951398035018,13
白斑病_index,白斑病,病情指数,白斑病病情指数,过去7天最低气温_C,-0.2606333832041432,0.2606333832041432,14
白斑病_index,白斑病,病情指数,白斑病病情指数,2m比湿最小值(kg/kg),-0.22071445278114515,0.22071445278114515,15
白斑病_index,白斑病,病情指数,白斑病病情指数,10m风速最大值(m/s),0.16528903114000837,0.16528903114000837,16
白斑病_index,白斑病,病情指数,白斑病病情指数,10m风速最小值(m/s),-0.15392584871471784,0.15392584871471784,17
白斑病_index,白斑病,病情指数,白斑病病情指数,累计降水_21d,0.14545478136855552,0.14545478136855552,18
白斑病_index,白斑病,病情指数,白斑病病情指数,平均风速_7d,-0.019289470306759607,0.019289470306759607,19
白斑病_index,白斑病,病情指数,白斑病病情指数,10m风速平均值(m/s),-0.012120834842589183,0.012120834842589183,20
白斑病_rate,白斑病,发病株率,白斑病发病株率,平均短波辐射21d,-0.5793327815007996,0.5793327815007996,1
白斑病_rate,白斑病,发病株率,白斑病发病株率,21天内高湿80天数,0.5400745475589259,0.5400745475589259,2
白斑病_rate,白斑病,发病株率,白斑病发病株率,平均相对湿度_21d,0.5163523849247067,0.5163523849247067,3
白斑病_rate,白斑病,发病株率,白斑病发病株率,过去7天最高气温_C,-0.4765165455234886,0.4765165455234886,4
白斑病_rate,白斑病,发病株率,白斑病发病株率,21天内高湿90天数,0.4612014837466276,0.4612014837466276,5
白斑病_rate,白斑病,发病株率,白斑病发病株率,平均气温C_21d,-0.4403210320728461,0.4403210320728461,6
白斑病_rate,白斑病,发病株率,白斑病发病株率,连续高湿80天数,0.41578091681658746,0.41578091681658746,7
白斑病_rate,白斑病,发病株率,白斑病发病株率,平均气温C_7d,-0.405374470878923,0.405374470878923,8
白斑病_rate,白斑病,发病株率,白斑病发病株率,过去21天有效积温_C,-0.39444892337557386,0.39444892337557386,9
白斑病_rate,白斑病,发病株率,白斑病发病株率,2m比湿最大值(kg/kg),-0.3207712705919359,0.3207712705919359,10
白斑病_rate,白斑病,发病株率,白斑病发病株率,弱风日连续天数,0.31438170259241255,0.31438170259241255,11
白斑病_rate,白斑病,发病株率,白斑病发病株率,气温最低_C,-0.29648019482475935,0.29648019482475935,12
白斑病_rate,白斑病,发病株率,白斑病发病株率,地表温度平均_C,-0.29549848543711743,0.29549848543711743,13
白斑病_rate,白斑病,发病株率,白斑病发病株率,2m比湿平均值(kg/kg),-0.2617119783516392,0.2617119783516392,14
白斑病_rate,白斑病,发病株率,白斑病发病株率,过去7天最低气温_C,-0.2554851663938867,0.2554851663938867,15
白斑病_rate,白斑病,发病株率,白斑病发病株率,地表温度最低_C,-0.22007427284688033,0.22007427284688033,16
白斑病_rate,白斑病,发病株率,白斑病发病株率,2m比湿最小值(kg/kg),-0.21391963683327586,0.21391963683327586,17
白斑病_rate,白斑病,发病株率,白斑病发病株率,平均土壤相对湿度_7d,0.15790776723781524,0.15790776723781524,18
白斑病_rate,白斑病,发病株率,白斑病发病株率,累计降水_14d,0.06749827992114842,0.06749827992114842,19
白斑病_rate,白斑病,发病株率,白斑病发病株率,10m风速平均值(m/s),-0.008317743585613784,0.008317743585613784,20
