feature,xgb_imp,spearman_corr,spearman_abs_imp,perm_imp,shap_imp
平均短波辐射21d,0.25960043,-0.5684202120579926,0.5684202120579926,0.4714535126746221,
过去7天最低气温_C,0.14560902,-0.08510635369337784,0.08510635369337784,0.02948923092725155,
21天内高湿80天数,0.12656784,0.5849036008987758,0.5849036008987758,0.06505959150190106,
连续高湿天数,0.08881778,0.517013048455655,0.517013048455655,0.009116509450959275,
平均气温C_14d,0.07200531,-0.3010775942087451,0.3010775942087451,0.04962003988904038,
过去21天有效积温_C,0.05274984,-0.2326292446065854,0.2326292446065854,0.007961483770609856,
地表温度最低_C,0.048896622,-0.07500302131957352,0.07500302131957352,0.0038613464519651865,
连续高湿80天数,0.02696161,0.517013048455655,0.517013048455655,0.07487745877961469,
弱风日连续天数,0.024205487,0.1612441515707306,0.1612441515707306,0.028531754481504402,
平均气温C_21d,0.019227458,-0.3133141346477151,0.3133141346477151,0.028647918751431068,
累计降水_21d,0.013624636,0.06264800118042536,0.06264800118042536,0.004507679060433834,
平均相对湿度_21d,0.013180098,0.5599164507746411,0.5599164507746411,0.07781243591374358,
平均短波辐射7d,0.01305562,-0.3924496912942425,0.3924496912942425,0.008657117113812163,
寡照连续天数,0.012414427,0.27902049204473456,0.27902049204473456,0.02108741005350927,
平均土壤相对湿度_21d,0.00938317,0.07118634562111927,0.07118634562111927,0.0023019797131941244,
过去7天最高湿度_%,0.007837467,0.21031057022857388,0.21031057022857388,0.00024388119581990607,
气温平均_C,0.00760925,-0.2582705024153242,0.2582705024153242,0.006779308246791249,
10m风速平均值(m/s),0.006057638,0.0742833495121907,0.0742833495121907,0.010380547889368309,
土壤湿度(m3 m-3),0.005783197,0.2067017363520949,0.2067017363520949,0.0037357561630875003,
过去7天最高气温_C,0.005669463,-0.41344297820314746,0.41344297820314746,0.0017675534514331348,
