feature,xgb_imp,spearman_corr,spearman_abs_imp,perm_imp,shap_imp
土壤温度_C,0.14373402,-0.672254589216556,0.672254589216556,0.06330087957911652,
连续高湿天数,0.12057153,0.2911693811447526,0.2911693811447526,0.0008965393853437309,
过去7天平均气温_C,0.09980985,-0.6387148162366656,0.6387148162366656,-0.0019306976369707352,
平均气温C_7d,0.0956112,-0.6387148162366656,0.6387148162366656,0.0649488389914725,
7天内高湿90天数,0.08402448,0.12101206923710081,0.12101206923710081,9.683905031152574e-05,
地表温度最低_C,0.077557795,-0.6685623109491815,0.6685623109491815,0.07499218399459902,
21天内高湿80天数,0.063565694,0.500718113889589,0.500718113889589,0.02102647557403836,
平均相对湿度_21d,0.047523405,0.48039543067743734,0.48039543067743734,0.06793199973786142,
连续高湿80天数,0.026273789,0.2911693811447526,0.2911693811447526,0.006940947359819228,
平均气温C_14d,0.025836928,-0.6486980888715872,0.6486980888715872,0.010682685789704039,
21天内高湿90天数,0.021494381,0.16624104597711534,0.16624104597711534,0.016732737394200736,
连续发病适温天数,0.02013327,0.24590748564498596,0.24590748564498596,0.04025823914420155,
平均短波辐射21d,0.018947618,-0.18062303153860548,0.18062303153860548,0.15459560017244792,
连续降雨天数,0.013843599,0.058682999763295614,0.058682999763295614,0.022719575960493586,
连续最适温天数,0.01261019,-0.23767689370889886,0.23767689370889886,-0.002762845658560553,
连续适温天数,0.01237368,0.24590748564498596,0.24590748564498596,-0.0005745048655258378,
过去7天最低湿度_%,0.010672905,0.46313847412184866,0.46313847412184866,0.006658396581624903,
连续高湿90天数,0.008518914,0.05140627892232528,0.05140627892232528,-0.0006186653573402312,
平均相对湿度_14d,0.0072949254,0.43854465303369494,0.43854465303369494,0.0026307250287966877,
平均风速_7d,0.0072538997,0.23542572733047915,0.23542572733047915,0.05611822950384482,
