feature,xgb_imp,spearman_corr,spearman_abs_imp,perm_imp,shap_imp
平均气温C_7d,0.26572093,-0.6892508903586468,0.6892508903586468,0.20070770471651125,
过去7天平均风速_ms,0.12924896,0.28314142700971073,0.28314142700971073,0.012222010785080051,
地表温度最低_C,0.08066332,-0.7024712383704321,0.7024712383704321,0.02495916640748421,
过去7天平均气温_C,0.06921215,-0.6892508903586468,0.6892508903586468,-0.0010817627346841664,
10m风速最大值(m/s),0.040137906,0.30486479593828764,0.30486479593828764,0.06793604853073154,
平均风速_7d,0.035674028,0.28314142700971073,0.28314142700971073,0.09423011227729379,
平均气温C_14d,0.033190973,-0.6919351255928557,0.6919351255928557,0.019619862744298833,
21天内高湿80天数,0.029406227,0.5039530766021959,0.5039530766021959,0.007690890812022677,
平均短波辐射21d,0.023167903,-0.21728979166505907,0.21728979166505907,0.06794162068998325,
平均相对湿度_21d,0.0202296,0.4829146374194007,0.4829146374194007,0.02272730964561709,
累计降水_21d,0.01941711,-0.041430836903915115,0.041430836903915115,0.019227898846035686,
平均相对湿度_7d,0.017090281,0.3738502547297377,0.3738502547297377,0.0014695366530849796,
平均土壤相对湿度_14d,0.016256548,-0.12656009532705598,0.12656009532705598,-0.004135988568650295,
过去7天最高气温_C,0.014867274,-0.6215712844169554,0.6215712844169554,0.0058267175261466075,
连续高湿80天数,0.014842921,0.2651333599904643,0.2651333599904643,0.004646609353804343,
弱风日连续天数,0.013955272,0.13544931171921987,0.13544931171921987,0.03813521108729465,
平均气温C_21d,0.013614806,-0.6961344621917186,0.6961344621917186,0.01594536975520435,
过去7天最低气温_C,0.012817537,-0.6531374851635232,0.6531374851635232,0.024525346838133122,
过去7天最大单日降雨_mm,0.011242365,-0.08297142809734098,0.08297142809734098,7.211273484346581e-05,
地表温度平均_C,0.010809265,-0.694760702103453,0.694760702103453,0.002804346489389631,
