feature,spearman,abs_spearman,mutual_info,mutual_info_norm
soil_temp_c,-0.7763132192909072,0.7763132192909072,0.46970239333792607,0.9538310789956234
5cm土壤温度(K),-0.7763132192909072,0.7763132192909072,0.46949612271086316,0.9534122024100086
gdd_28d_sum,-0.7678487808410934,0.7678487808410934,0.49243771112230794,1.0
temp_avg_c_28d_mean,-0.7678487808410934,0.7678487808410934,0.49243771112230794,1.0
surface_temp_avg_c,-0.7664534069861002,0.7664534069861002,0.486230223946289,0.9873943708294161
地表温度平均值(K),-0.7664534069861002,0.7664534069861002,0.4856070233283547,0.9861288288047934
temp_avg_c_21d_mean,-0.7501940394246402,0.7501940394246402,0.4268960228653884,0.8669035965837296
gdd_21d_sum,-0.7501940394246402,0.7501940394246402,0.4268960228653884,0.8669035965837296
temp_avg_c_28d_max,-0.7499741417496938,0.7499741417496938,0.45361842411113873,0.9211691425445531
日期,0.7486452222078069,0.7486452222078069,0.3017698490879881,0.6128081628846593
temp_avg_c_21d_max,-0.7473740039876973,0.7473740039876973,0.44210829328451373,0.8977953623350877
temp_avg_c_14d_mean,-0.7467979704755,0.7467979704755,0.3850961670189279,0.7820200571992356
gdd_14d_sum,-0.7467979704755,0.7467979704755,0.3850961670189279,0.7820200571992356
gdd_3d_sum,-0.7449734866251639,0.7449734866251639,0.3476085333626302,0.7058934064379441
temp_avg_c_3d_mean,-0.7449734866251639,0.7449734866251639,0.3476085333626302,0.7058934064379441
temp_avg_c_7d_mean,-0.7447928446597842,0.7447928446597842,0.37868161650361554,0.7689939416714604
gdd_7d_sum,-0.7447928446597842,0.7447928446597842,0.37868161650361554,0.7689939416714604
2m气温最小值(K),-0.7404453946929769,0.7404453946929769,0.3989695126957997,0.8101928501505579
temp_min_c,-0.7404453946929769,0.7404453946929769,0.3989695126957997,0.8101928501505579
surface_temp_min_c,-0.7402967423281502,0.7402967423281502,0.3991669062036638,0.810593699848714
