feature,spearman,abs_spearman,mutual_info,mutual_info_norm
序号,0.5524258961699006,0.5524258961699006,0.17482981387879182,0.7882556007450582
LAT(degrees_north),-0.5193622994114008,0.5193622994114008,0.2070942932048654,0.933726535991451
disease_suitable_28d_count,0.5109166371267522,0.5109166371267522,0.16249077368583498,0.7326225406614971
temp_range_24h_c_28d_max,-0.5094795929842203,0.5094795929842203,0.09408299818587551,0.4241922393529463
temp_range_24h_c_28d_mean,-0.5076110675011938,0.5076110675011938,0.13459353215320302,0.6068421809187339
temp_range_24h_c_21d_max,-0.506466698169047,0.506466698169047,0.07862650510663016,0.3545035119712469
radiation_avg_28d_max,-0.5053982251617082,0.5053982251617082,0.06521221476984174,0.29402246898778533
rain_28d_count,0.49827562078678816,0.49827562078678816,0.18305724542914614,0.825350641089891
temp_range_24h_c_21d_mean,-0.49492166836547136,0.49492166836547136,0.12428058121718877,0.5603441543226627
relative_humidity_28d_min,0.492705896574167,0.492705896574167,0.08601918750693915,0.3878349168231277
high_humidity_21d_count,0.4901953712761363,0.4901953712761363,0.07427058316524082,0.3348639562768794
high_humidity_14d_count,0.4900573300517956,0.4900573300517956,0.20084652656051816,0.9055572155518078
high_humidity_28d_count,0.48995749029305513,0.48995749029305513,0.2217933037374462,1.0
relative_humidity_21d_min,0.48917592928706216,0.48917592928706216,0.07372476666519034,0.3324030321152708
relative_humidity_28d_mean,0.48711145727916916,0.48711145727916916,0.1166713232222758,0.5260362745684541
rain_21d_count,0.4865213209788419,0.4865213209788419,0.17180047158409106,0.7745971978823333
relative_humidity_21d_mean,0.4851281901943329,0.4851281901943329,0.07218976663985277,0.3254821738230174
disease_suitable_21d_count,0.4822093193504609,0.4822093193504609,0.12200243338945516,0.5500726637530897
radiation_avg_21d_max,-0.47839564449254157,0.47839564449254157,0.12043700606512875,0.5430146178249786
relative_humidity_14d_mean,0.4771600197826898,0.4771600197826898,0.08628996046491455,0.3890557515075505
