feature,spearman,abs_spearman,mutual_info,mutual_info_norm
temp_range_24h_c_28d_max,-0.6039044145094135,0.6039044145094135,0.36987663740819343,0.8165302076332044
temp_range_24h_c_21d_max,-0.6020967607173351,0.6020967607173351,0.253345313039123,0.5592786354614779
temp_range_24h_c_14d_max,-0.5549527751538209,0.5549527751538209,0.3071414677610562,0.6780376511505155
temp_range_24h_c_28d_mean,-0.5544373608811695,0.5544373608811695,0.24535811645024008,0.5416463044907321
radiation_avg_28d_max,-0.5365667861152278,0.5365667861152278,0.43991339269322793,0.9711415578811353
temp_range_24h_c_21d_mean,-0.5313408470847298,0.5313408470847298,0.26293389272179546,0.5804461388054635
temp_range_24h_c_7d_max,-0.5237936714270789,0.5237936714270789,0.379623063126556,0.838046167849728
rain_7d_count,0.5174273680391718,0.5174273680391718,0.302654599653978,0.668132555838826
temp_range_24h_c_14d_mean,-0.5145227524316456,0.5145227524316456,0.18019771269574747,0.39779986320170824
temp_range_24h_c_7d_mean,-0.5101051659500558,0.5101051659500558,0.16298031611997033,0.35979117874022487
rain_21d_count,0.506744161880429,0.506744161880429,0.25622876843017384,0.5656440778577694
rain_28d_count,0.505126463735075,0.505126463735075,0.200961691860563,0.4436378927067391
disease_suitable_28d_count,0.5010847313679421,0.5010847313679421,0.444082071330417,0.9803442262546548
radiation_avg_21d_max,-0.49688591742134813,0.49688591742134813,0.3575146326717027,0.7892401620521157
rain_14d_count,0.4868229589797054,0.4868229589797054,0.2121151518372857,0.4682599857765737
disease_suitable_21d_count,0.4846050768793343,0.4846050768793343,0.3226597259312438,0.7122953611118645
temp_range_24h_c_lag3d,-0.4836904193854814,0.4836904193854814,0.2552113937151086,0.563398147449312
radiation_avg_14d_max,-0.4741936749903839,0.4741936749903839,0.270506036745096,0.5971622103446095
disease_suitable_14d_count,0.4677257593755546,0.4677257593755546,0.18412130921010084,0.4064614945471837
relative_humidity_28d_max,0.46249583237251374,0.46249583237251374,0.45298585888245135,1.0
