feature,spearman,abs_spearman,mutual_info,mutual_info_norm
temp_range_24h_c_28d_max,-0.6026724695039709,0.6026724695039709,0.2877302777028854,0.8551715008752689
temp_range_24h_c_21d_max,-0.6005926585500586,0.6005926585500586,0.22011676911587497,0.6542154316029778
temp_range_24h_c_28d_mean,-0.5531640625284195,0.5531640625284195,0.17111428088129,0.5085737155321199
temp_range_24h_c_14d_max,-0.5522678577591716,0.5522678577591716,0.1469547839989671,0.4367685743624381
radiation_avg_28d_max,-0.5371898688737442,0.5371898688737442,0.28164144761957655,0.8370747124437973
temp_range_24h_c_21d_mean,-0.5289842291786662,0.5289842291786662,0.19979638878561534,0.5938206400498671
temp_range_24h_c_7d_max,-0.5209817202135105,0.5209817202135105,0.1443915085084111,0.4291501889567871
rain_7d_count,0.5167768354596629,0.5167768354596629,0.20216139407268807,0.6008497408350559
temp_range_24h_c_14d_mean,-0.5111516020832231,0.5111516020832231,0.15534239805515782,0.4616976452911566
temp_range_24h_c_7d_mean,-0.5079074744421311,0.5079074744421311,0.15899400140760456,0.47255068149034885
rain_21d_count,0.5041348062857434,0.5041348062857434,0.21189012837869736,0.6297647941429937
rain_28d_count,0.5034923293477029,0.5034923293477029,0.19493900681873555,0.57938387427011
disease_suitable_28d_count,0.5012551680264975,0.5012551680264975,0.3336750766102723,0.9917253698414492
radiation_avg_21d_max,-0.49807387837368555,0.49807387837368555,0.1753304022098252,0.5211045719758022
disease_suitable_21d_count,0.48509472393047787,0.48509472393047787,0.23527103191547072,0.6992558554556623
temp_range_24h_c_lag3d,-0.48224662629970544,0.48224662629970544,0.20287011201709415,0.6029561419863482
rain_14d_count,0.48178273991625176,0.48178273991625176,0.10275144994949237,0.30539056359287103
radiation_avg_14d_max,-0.4744606079067362,0.4744606079067362,0.15738161985277,0.46775847552148203
disease_suitable_14d_count,0.4689207709033759,0.4689207709033759,0.13063481625335438,0.38826352504099276
relative_humidity_28d_max,0.4619539074452952,0.4619539074452952,0.33645915165366613,1.0
