feature,spearman,abs_spearman,mutual_info,mutual_info_norm
radiation_avg_21d_mean,-0.6208859735546656,0.6208859735546656,0.2498684925362773,0.9014817875564644
radiation_avg_28d_mean,-0.606737329453461,0.606737329453461,0.21240753228777232,0.7663291996266318
radiation_avg_14d_mean,-0.5976694606801843,0.5976694606801843,0.2662188717962648,0.9604710941829478
日期,0.5849328836090993,0.5849328836090993,0.1605273296690699,0.5791545089692685
temp_avg_c_21d_max,-0.5707953353488457,0.5707953353488457,0.24228636146093852,0.874126785707676
radiation_avg_14d_max,-0.5610885309859036,0.5610885309859036,0.18353289181824595,0.6621545506290609
relative_humidity_21d_min,0.5605371226733075,0.5605371226733075,0.1856490890767053,0.6697894199477729
temp_avg_c_28d_max,-0.5580104586927991,0.5580104586927991,0.18680185977540553,0.673948414863693
relative_humidity_28d_mean,0.5513056553035368,0.5513056553035368,0.25131157970519613,0.9066881934839659
relative_humidity_28d_min,0.550181925776002,0.550181925776002,0.2520448558909645,0.9093337256197275
relative_humidity_28d_std,-0.5500181563784761,0.5500181563784761,0.2771753084591593,1.0
temp_avg_c_21d_std,-0.5496858985913636,0.5496858985913636,0.20509910571795587,0.7399616757283286
radiation_avg_21d_max,-0.546958153302251,0.546958153302251,0.17192995413296197,0.6202931822777973
relative_humidity_21d_mean,0.5364509634047184,0.5364509634047184,0.2028862382361587,0.7319780371636285
temp_avg_c_14d_std,-0.5345958574266739,0.5345958574266739,0.24493635242167988,0.8836874892763773
temp_avg_c_14d_max,-0.5302611830623898,0.5302611830623898,0.2172765176897875,0.7838956467574469
temp_avg_c_28d_std,-0.5278953253865732,0.5278953253865732,0.1656835690612608,0.5977573182196843
high_humidity_28d_count,0.5268426737136649,0.5268426737136649,0.07172190621596686,0.25876008441976645
relative_humidity_14d_mean,0.5262894127488632,0.5262894127488632,0.23331641942222037,0.8417648048061923
radiation_avg_28d_max,-0.5229767779977603,0.5229767779977603,0.13563633368220884,0.48935215202329013
