feature,spearman,abs_spearman,mutual_info,mutual_info_norm
radiation_avg_21d_mean,-0.587035903982217,0.587035903982217,0.20813105995389858,0.5427069660367653
radiation_avg_28d_mean,-0.5869184018597057,0.5869184018597057,0.2566875342155628,0.6693191921688335
radiation_avg_14d_max,-0.5603271880132142,0.5603271880132142,0.2470589634287137,0.6442124520207818
radiation_avg_14d_mean,-0.5602078193704068,0.5602078193704068,0.2473740239301696,0.6450339801910656
radiation_avg_21d_max,-0.538466040458244,0.538466040458244,0.28225518582894615,0.7359874858817363
relative_humidity_28d_mean,0.5295773660741264,0.5295773660741264,0.2980121082438112,0.7770740568132554
temp_avg_c_21d_std,-0.5225836397422461,0.5225836397422461,0.2578736947809297,0.6724121356334242
relative_humidity_21d_min,0.5222278194191583,0.5222278194191583,0.33016057788632036,0.8609019988142032
relative_humidity_28d_min,0.5160791631520969,0.5160791631520969,0.38350541448513287,1.0
radiation_avg_28d_max,-0.5146918566524145,0.5146918566524145,0.267276581351763,0.6969303985201606
relative_humidity_28d_std,-0.5137192796199835,0.5137192796199835,0.3314677100498846,0.8643103787592924
temp_avg_c_21d_max,-0.5113628886859918,0.5113628886859918,0.24076755244704984,0.6278074398774455
relative_humidity_21d_mean,0.510650124179985,0.510650124179985,0.31440290193616605,0.8198134630204923
temp_avg_c_14d_std,-0.5082859814750549,0.5082859814750549,0.2586157987735005,0.6743471904319779
relative_humidity_14d_mean,0.5030030860469408,0.5030030860469408,0.30541143538495596,0.7963679881677281
high_humidity_28d_count,0.5016194720566507,0.5016194720566507,0.23008251774770105,0.5999459435444829
temp_avg_c_28d_max,-0.49559918889501914,0.49559918889501914,0.29138676656776763,0.7597983119976619
temp_avg_c_28d_std,-0.4884281227706228,0.4884281227706228,0.25968099312175763,0.6771247114473908
radiation_avg_28d_std,-0.4836481364268577,0.4836481364268577,0.22543157087027232,0.5878184827531594
radiation_avg_14d_std,-0.4824402146074402,0.4824402146074402,0.21547845528606757,0.5618654838950674
