feature,spearman,abs_spearman,mutual_info,mutual_info_norm
radiation_avg_21d_mean,-0.5928112358354883,0.5928112358354883,0.18519668673085388,0.6918515161002534
radiation_avg_28d_mean,-0.5890251908720051,0.5890251908720051,0.18112224957536815,0.6766303716346685
radiation_avg_14d_mean,-0.569663881727064,0.569663881727064,0.25461651135473584,0.9511877480882791
radiation_avg_14d_max,-0.5620764323945153,0.5620764323945153,0.2079477276990236,0.7768440851604257
radiation_avg_21d_max,-0.5373056381751293,0.5373056381751293,0.19501076602637646,0.7285146214699685
relative_humidity_28d_mean,0.525126310714802,0.525126310714802,0.25287009483682343,0.944663544351221
temp_avg_c_21d_std,-0.5208716958300956,0.5208716958300956,0.17812068607185472,0.6654172322571
relative_humidity_21d_min,0.5152192859956045,0.5152192859956045,0.2147708404511377,0.8023336389175809
temp_avg_c_21d_max,-0.5139514756826754,0.5139514756826754,0.14934074542878673,0.5579021037811831
relative_humidity_28d_std,-0.5116080684875136,0.5116080684875136,0.2495222588721906,0.9321568120296416
radiation_avg_28d_max,-0.511311542163089,0.511311542163089,0.19020656357735133,0.7105672445126201
relative_humidity_28d_min,0.508375092050196,0.508375092050196,0.26768270708539976,1.0
temp_avg_c_14d_std,-0.5059149439446523,0.5059149439446523,0.18282946745663065,0.6830081384312282
relative_humidity_21d_mean,0.5039188360802415,0.5039188360802415,0.23216808020592428,0.8673256585523654
relative_humidity_14d_mean,0.49741039987445174,0.49741039987445174,0.23553694366022437,0.8799109446583719
temp_avg_c_28d_max,-0.4964431718513985,0.4964431718513985,0.11205600497352508,0.4186150319294831
high_humidity_28d_count,0.4913679125393222,0.4913679125393222,0.2115422987565747,0.7902725620937688
temp_avg_c_28d_std,-0.4854899810785344,0.4854899810785344,0.12905909692092976,0.4821346075215669
radiation_avg_14d_std,-0.48519009632895155,0.48519009632895155,0.17241044532508942,0.6440851080831482
radiation_avg_28d_std,-0.48220062023154775,0.48220062023154775,0.14130822599667248,0.5278944894695435
