feature,spearman,abs_spearman,mutual_info,mutual_info_norm
5cm土壤温度(K),-0.7605984368519265,0.7605984368519265,0.5168384401358943,0.9777048649985804
soil_temp_c,-0.7605984368519265,0.7605984368519265,0.5186665569532858,0.9811631191982476
surface_temp_avg_c,-0.753810292900912,0.753810292900912,0.48803639483678696,0.9232199474227079
地表温度平均值(K),-0.753810292900912,0.753810292900912,0.48620827801939503,0.9197616932230399
soil_temp_c_lag3d,-0.7525871255413336,0.7525871255413336,0.42388416723867905,0.801862981391554
temp_min_c,-0.7440395156665784,0.7440395156665784,0.5245042576111452,0.99220631546688
2m气温最小值(K),-0.7440395156665784,0.7440395156665784,0.5286241877671793,1.0
地表温度最小值(K),-0.7377080903061314,0.7377080903061314,0.439460480201491,0.8313287404757224
surface_temp_min_c,-0.7377080903061314,0.7377080903061314,0.44434644461031914,0.8405715343582075
soil_temp_c_lag7d,-0.7369104330347362,0.7369104330347362,0.48063419572795185,0.9092171846280261
2m气温平均值(K),-0.7119893332595943,0.7119893332595943,0.43574275284091035,0.8242959042063801
gdd_daily,-0.7119893332595943,0.7119893332595943,0.4330241703040456,0.8191531532695613
temp_avg_c,-0.7119893332595943,0.7119893332595943,0.43098294743881915,0.8152917657045158
temp_min_c_lag1d,-0.7109899781980459,0.7109899781980459,0.399071551394389,0.7549248797713946
gdd_21d_sum,-0.7056705764531107,0.7056705764531107,0.46704179645392596,0.8835044011637697
temp_avg_c_21d_mean,-0.7056705764531107,0.7056705764531107,0.4665774815389465,0.8826260552126686
gdd_7d_sum,-0.7051354887036202,0.7051354887036202,0.5101205279718397,0.9649965699195566
temp_avg_c_7d_mean,-0.7051354887036202,0.7051354887036202,0.5091999667586937,0.963255141444567
temp_avg_c_14d_mean,-0.7026646423309726,0.7026646423309726,0.43364414418651664,0.8203259597676704
gdd_14d_sum,-0.7026646423309726,0.7026646423309726,0.4343118499259728,0.8215890607662768
