feature,spearman,abs_spearman,mutual_info,mutual_info_norm
relative_humidity_21d_min,0.4317584591771507,0.4317584591771507,0.041990270611733216,0.2961072579862774
relative_humidity_28d_min,0.41973527204065847,0.41973527204065847,0.05112004879442367,0.36048868597697975
high_humidity_28d_count,0.41917825431867345,0.41917825431867345,0.04014378917809802,0.2830862284413163
high_humidity_21d_count,0.4122107792295782,0.4122107792295782,0.06423673510238981,0.4529850181018964
relative_humidity_21d_mean,0.41189309652947026,0.41189309652947026,0.12001278499178802,0.8463069222822563
temp_avg_c_21d_max,-0.40411889488994723,0.40411889488994723,0.141807637196381,1.0
relative_humidity_28d_mean,0.3939026847991101,0.3939026847991101,0.10381187943628767,0.7320612732057917
temp_avg_c_14d_max,-0.3897575732221756,0.3897575732221756,0.09031006086460902,0.6368490629284229
relative_humidity_14d_mean,0.38041860921091775,0.38041860921091775,0.0866368941068476,0.6109466021697357
high_humidity_14d_count,0.3755735190669311,0.3755735190669311,0.09444422083375548,0.6660023585539703
gdd_21d_sum,-0.37328357698581865,0.37328357698581865,0.07685784860895328,0.541986666786623
temp_avg_c_21d_mean,-0.37328357698581865,0.37328357698581865,0.07674858287468744,0.5412161459851621
temp_avg_c_28d_max,-0.37296559506481697,0.37296559506481697,0.1028577628244216,0.7253330275997757
gdd_14d_sum,-0.3725587205908575,0.3725587205908575,0.11359763014565605,0.8010684924419227
temp_avg_c_14d_mean,-0.3725587205908575,0.3725587205908575,0.1134883644113911,0.8002979716404679
temp_avg_c_28d_mean,-0.37177273172885145,0.37177273172885145,0.10942701360763873,0.7716581121516025
gdd_28d_sum,-0.37177273172885145,0.37177273172885145,0.10942701360763873,0.7716581121516025
日期,0.37014001131441604,0.37014001131441604,0.0436387998749872,0.30773236715420627
wind_avg_14d_std,-0.3680349180295339,0.3680349180295339,0.0791315676344233,0.5580204931053091
relative_humidity_3d_min,0.3630307889414289,0.3630307889414289,0.05801803302802533,0.40913193516989205
