feature,spearman,abs_spearman,mutual_info,mutual_info_norm
gdd_21d_sum,-0.5729827097970012,0.5729827097970012,0.2334268985549568,0.8291305856147183
temp_avg_c_21d_mean,-0.5729827097970012,0.5729827097970012,0.2334268985549568,0.8291305856147183
temp_avg_c_28d_mean,-0.5529335343109882,0.5529335343109882,0.15646150785138868,0.5557500974997597
gdd_28d_sum,-0.5529335343109882,0.5529335343109882,0.15646150785138868,0.5557500974997597
temp_avg_c_14d_mean,-0.5407287955293015,0.5407287955293015,0.2785870189483881,0.9895389931291649
gdd_14d_sum,-0.5407287955293015,0.5407287955293015,0.2785870189483881,0.9895389931291649
temp_avg_c_21d_max,-0.5390208706790659,0.5390208706790659,0.20166333965641758,0.7163066636340518
temp_avg_c_14d_max,-0.5373046346803502,0.5373046346803502,0.22590366461060896,0.8024081153055604
temp_avg_c_28d_max,-0.5054442048652731,0.5054442048652731,0.12637963973291422,0.4488995285042448
日期,0.5048911716508563,0.5048911716508563,0.1108521472049877,0.3937459919902136
temp_avg_c_14d_min,-0.5007816126993739,0.5007816126993739,0.2502512699638655,0.8888906261465672
gdd_7d_sum,-0.49870698320132856,0.49870698320132856,0.26180552101990173,0.9299312388768749
temp_avg_c_7d_mean,-0.49870698320132856,0.49870698320132856,0.26180552101990173,0.9299312388768749
temp_avg_c_7d_max,-0.4873480515254501,0.4873480515254501,0.23873983890269201,0.8480021097155136
relative_humidity_28d_min,0.4822979757122349,0.4822979757122349,0.22661388120563952,0.8049307993021194
relative_humidity_21d_min,0.481755287443725,0.481755287443725,0.21642283809435892,0.7687322909245959
temp_avg_c_21d_min,-0.4702790480184865,0.4702790480184865,0.2815321284787653,1.0
wind_avg_28d_max,-0.4693726986459001,0.4693726986459001,0.1767529362292426,0.627825098273195
temp_avg_c_3d_max,-0.4683970654641949,0.4683970654641949,0.16523803155150807,0.5869242435822781
relative_humidity_28d_std,-0.4633248773333873,0.4633248773333873,0.11426578809649213,0.4058712187270331
