fold,date,group,actual,pred
2,2025-06-22,5.四川新都红花堰__同玉609,0.0,0.0006626713
2,2025-06-23,5.四川新都红花堰__同玉609,0.0,0.00029249434
2,2025-06-24,5.四川新都红花堰__同玉609,0.0,0.007597299
2,2025-06-25,5.四川新都红花堰__同玉609,0.0,0.00029249434
2,2025-06-26,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-06-27,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-06-28,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-06-29,5.四川新都红花堰__同玉609,0.0,0.00025160215
2,2025-06-30,5.四川新都红花堰__同玉609,0.0,0.00025160215
2,2025-07-01,5.四川新都红花堰__同玉609,0.0,0.00025160215
2,2025-07-02,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-03,5.四川新都红花堰__同玉609,0.0,0.00025160215
2,2025-07-04,5.四川新都红花堰__同玉609,0.0,0.00025160215
2,2025-07-05,5.四川新都红花堰__同玉609,0.0,0.00025160215
2,2025-07-06,5.四川新都红花堰__同玉609,0.0,0.00025160215
2,2025-07-07,5.四川新都红花堰__同玉609,0.0,0.00025160215
2,2025-07-08,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-09,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-10,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-11,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-12,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-13,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-14,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-15,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-16,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-17,5.四川新都红花堰__同玉609,0.0,0.006640131
2,2025-07-18,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-19,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-20,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-21,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-22,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-23,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-24,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-25,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-26,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-27,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-28,5.四川新都红花堰__同玉609,0.0,0.00017601872
2,2025-07-29,5.四川新都红花堰__同玉609,0.00047618571428571397,0.00017601872
2,2025-07-30,5.四川新都红花堰__同玉609,0.0009523714285714279,0.00017601872
2,2025-07-31,5.四川新都红花堰__同玉609,0.001428557142857143,0.00017601872
2,2025-08-01,5.四川新都红花堰__同玉609,0.001904742857142857,0.00017601872
2,2025-08-02,5.四川新都红花堰__同玉609,0.002380928571428571,0.00017601872
2,2025-08-03,5.四川新都红花堰__同玉609,0.002857114285714286,0.00017601872
2,2025-08-04,5.四川新都红花堰__同玉609,0.0033333,0.006640131
2,2025-08-05,5.四川新都红花堰__同玉609,0.0033333,0.0005461961
2,2025-08-06,5.四川新都红花堰__同玉609,0.0033333,0.00065434247
2,2025-08-07,5.四川新都红花堰__同玉609,0.0033333,0.00065434247
2,2025-08-08,5.四川新都红花堰__同玉609,0.0033333,0.007118457
2,2025-08-09,5.四川新都红花堰__同玉609,0.0033333,0.00017601872
2,2025-08-10,5.四川新都红花堰__同玉609,0.0033333,0.0074808216
2,2025-08-11,5.四川新都红花堰__同玉609,0.0033333,0.00017601872
2,2025-08-12,5.四川新都红花堰__同玉609,0.0033333,0.00017601872
2,2025-08-13,5.四川新都红花堰__同玉609,0.0033333,0.00017601872
2,2025-08-14,5.四川新都红花堰__同玉609,0.0033333,0.0074808216
2,2025-08-15,5.四川新都红花堰__同玉609,0.0033333,0.00017601872
2,2025-08-16,5.四川新都红花堰__同玉609,0.0033333,0.00025160215
2,2025-08-17,5.四川新都红花堰__同玉609,0.0033333,0.00025160215
2,2025-08-18,5.四川新都红花堰__同玉609,0.0033333,0.00025160215
2,2025-08-19,5.四川新都红花堰__同玉609,0.0033333,0.00025160215
2,2025-08-20,5.四川新都红花堰__同玉609,0.0033333,0.006715715
2,2025-08-21,5.四川新都红花堰__同玉609,0.0033333,0.00025160215
2,2025-08-22,5.四川新都红花堰__同玉609,0.0033333,0.00025160215
2,2025-08-23,5.四川新都红花堰__同玉609,0.0033333,0.006640131
2,2025-08-24,5.四川新都红花堰__同玉609,0.0033333,0.00017601872
2,2025-08-25,5.四川新都红花堰__同玉609,0.0033333,0.006640131
2,2025-08-26,5.四川新都红花堰__同玉609,0.0033333,0.00017601872
2,2025-08-27,5.四川新都红花堰__同玉609,0.0033333,0.00017601872
2,2025-08-28,5.四川新都红花堰__同玉609,0.0033333,0.00017601872
2,2025-08-29,5.四川新都红花堰__同玉609,0.0033333,0.022095198
2,2025-08-30,5.四川新都红花堰__同玉609,0.0033333,0.00017601872
2,2025-08-31,5.四川新都红花堰__同玉609,0.0033333,0.00017601872
2,2025-09-01,5.四川新都红花堰__同玉609,0.0033333,0.00017601872
