feature,spearman,abs_spearman,mutual_info,mutual_info_norm
temp_avg_c_28d_min,0.24895811552875194,0.24895811552875194,0.015189039759704315,0.77195742067755
humidity_range_daily_7d_min,0.2488441173824729,0.2488441173824729,0.0,0.0
temp_range_24h_c_7d_std,-0.2485926145205501,0.2485926145205501,0.002169196196048162,0.11024575134020785
wind_avg_21d_mean,0.2437601666736048,0.2437601666736048,0.00872859433183848,0.4436161385542312
temp_avg_c_21d_min,0.24125773644815718,0.24125773644815718,0.010865844054336549,0.5522382640621532
wind_avg_14d_std,0.24079602580094325,0.24079602580094325,0.0,0.0
wind_avg_28d_mean,0.24009541068558687,0.24009541068558687,0.0011801703201852476,0.05998017325277825
wind_avg_28d_std,0.23926904413926917,0.23926904413926917,0.005454976987697258,0.2772400383367054
地表温度最小值(K),0.23381762200220363,0.23381762200220363,0.0013337487457398822,0.06778553864377534
surface_temp_min_c,0.23381762200220363,0.23381762200220363,0.0013337487457398822,0.06778553864377534
wind_avg_21d_max,0.23204503957647785,0.23204503957647785,0.0020893194474416177,0.10618614982477818
wind_avg_21d_std,0.22933468109331853,0.22933468109331853,0.009764327696346164,0.4962555462603177
temp_avg_c_14d_min,0.2258095209995615,0.2258095209995615,0.010247051425757547,0.5207891685927089
2m比湿最小值(kg/kg),0.2229235536702892,0.2229235536702892,0.014174422650503615,0.720391211161674
wind_avg_28d_max,0.21988588800386966,0.21988588800386966,0.0,0.0
wind_avg_14d_max,0.21891531476826642,0.21891531476826642,0.019676007190102318,1.0
2m气温最小值(K),0.216310425743745,0.216310425743745,0.000712202895068792,0.03619651528827727
temp_min_c,0.216310425743745,0.216310425743745,0.000712202895068792,0.03619651528827727
wind_avg_14d_mean,0.21600502941141017,0.21600502941141017,5.720648969642639e-06,0.00029074237035857126
humidity_range_daily_7d_mean,0.2140468999864398,0.2140468999864398,9.978912112806881e-05,0.005071614386188375
