fold,date,group,actual,pred,pred_monotone
3,2025-07-30,泸定县燕子沟麻柳林村_华玉919,0.0,0.008964684791862965,0.008964684791862965
3,2025-08-07,泸定县燕子沟麻柳林村_华玉919,0.0,0.01109042763710022,0.01109042763710022
3,2025-08-14,泸定县燕子沟麻柳林村_华玉919,0.0,0.011616592295467854,0.011616592295467854
3,2025-08-21,泸定县燕子沟麻柳林村_华玉919,0.0,0.024066904559731483,0.024066904559731483
3,2025-08-29,泸定县燕子沟麻柳林村_华玉919,0.0,0.048162516206502914,0.048162516206502914
3,2025-09-05,泸定县燕子沟麻柳林村_华玉919,0.0,0.06306784600019455,0.06306784600019455
3,2025-09-12,泸定县燕子沟麻柳林村_华玉919,0.0,0.08148131519556046,0.08148131519556046
