fold,date,group,actual,pred,pred_monotone
3,2025-08-01,宝兴-2_白K888,0.0,0.014796069823205471,0.014796069823205471
3,2025-08-08,宝兴-2_白K888,0.0,0.00944965798407793,0.00944965798407793
3,2025-08-15,宝兴-2_白K888,0.0,0.012115821242332458,0.012115821242332458
3,2025-08-25,宝兴-2_白K888,0.025,0.02413865365087986,0.02413865365087986
3,2025-09-04,宝兴-2_白K888,0.06944444444444445,0.06312531977891922,0.06312531977891922
3,2025-09-11,宝兴-2_白K888,0.12777777777777777,0.15604864060878754,0.15604864060878754
3,2025-09-18,宝兴-2_白K888,0.2888888888888889,0.17993268370628357,0.17993268370628357
3,2025-09-29,宝兴-2_白K888,0.4388888888888889,0.400353342294693,0.400353342294693
