fold,date,group,actual,pred,pred_monotone
3,2025-08-01,宝兴-1_翔玉168,0.0,0.0,0.0
3,2025-08-08,宝兴-1_翔玉168,0.0,0.00363724771887064,0.00363724771887064
3,2025-08-15,宝兴-1_翔玉168,0.0,0.0073855044320225716,0.0073855044320225716
3,2025-08-25,宝兴-1_翔玉168,0.01,0.30517250299453735,0.30517250299453735
3,2025-09-04,宝兴-1_翔玉168,0.02,0.252573698759079,0.30517250299453735
3,2025-09-11,宝兴-1_翔玉168,0.23,0.4742187559604645,0.4742187559604645
3,2025-09-18,宝兴-1_翔玉168,1.0,0.308563232421875,0.4742187559604645
3,2025-09-29,宝兴-1_翔玉168,1.0,0.9948992729187012,0.9948992729187012
3,2025-10-09,宝兴-1_翔玉168,1.0,0.8431062698364258,0.9948992729187012
