特征变量,特征变量中文,目标变量,目标变量中文,配对样本数,Spearman系数,Spearman显著性p值,Pearson系数,Pearson显著性p值
平均风速_7d,平均风速_7d,gray_incidence,灰斑病发病株率,119,0.23067763691614754,0.011603726307747447,0.20089121112954672,0.028472251375541657
平均风速_7d,平均风速_7d,gray_index,灰斑病病情指数,118,0.23495860458878914,0.010434347529580574,0.34203063838537834,0.00015013721822710986
平均风速_7d,平均风速_7d,blight_incidence,大斑病发病株率,121,0.2976273248366963,0.0009151751441218385,0.09719759369776954,0.28887669733780996
平均风速_7d,平均风速_7d,blight_index,大斑病病情指数,121,0.2972809761046548,0.0009285002015621744,0.061691940433630216,0.5014512595031225
平均风速_7d,平均风速_7d,white_incidence,白斑病发病株率,120,-0.019947160317540808,0.8287971117231641,0.03113650780642721,0.7356683096111962
平均风速_7d,平均风速_7d,white_index,白斑病病情指数,120,-0.024225064927237677,0.7928333075857982,-0.009374440640497094,0.9190589315780681
平均风速_28d,平均风速_28d,gray_incidence,灰斑病发病株率,119,0.246027162800152,0.006994659401324738,0.29173778437089265,0.0012853917050762323
平均风速_28d,平均风速_28d,gray_index,灰斑病病情指数,118,0.20811765880184516,0.023728756248224375,0.3606661121990914,6.0199773145769165e-05
平均风速_28d,平均风速_28d,blight_incidence,大斑病发病株率,121,0.4501702169389893,2.2118120682474987e-07,0.1587937609657001,0.0819194017387787
平均风速_28d,平均风速_28d,blight_index,大斑病病情指数,121,0.44913032954110577,2.376679572591702e-07,0.10412243747995996,0.25572626462098197
平均风速_28d,平均风速_28d,white_incidence,白斑病发病株率,120,-0.08135376954201552,0.37706163788168245,0.031305547871303886,0.7342866996268524
平均风速_28d,平均风速_28d,white_index,白斑病病情指数,120,-0.08909388482137276,0.33320161040422275,0.007149217608639629,0.9382281666482983
是否弱风日,是否弱风日,gray_incidence,灰斑病发病株率,119,,,,
是否弱风日,是否弱风日,gray_index,灰斑病病情指数,118,,,,
是否弱风日,是否弱风日,blight_incidence,大斑病发病株率,121,,,,
是否弱风日,是否弱风日,blight_index,大斑病病情指数,121,,,,
是否弱风日,是否弱风日,white_incidence,白斑病发病株率,120,,,,
是否弱风日,是否弱风日,white_index,白斑病病情指数,120,,,,
弱风日连续天数,弱风日连续天数,gray_incidence,灰斑病发病株率,119,0.272635986635313,0.0027019452985417615,0.2710543227418411,0.0028667988638376176
弱风日连续天数,弱风日连续天数,gray_index,灰斑病病情指数,118,0.3443575019444583,0.00013436099683151296,0.34487396578834956,0.00013107512059689892
弱风日连续天数,弱风日连续天数,blight_incidence,大斑病发病株率,121,-0.15767001432398053,0.08413388393282253,-0.1553582961718862,0.08883975373626175
弱风日连续天数,弱风日连续天数,blight_index,大斑病病情指数,121,-0.15043154062870376,0.09956690952764409,-0.05347125465978052,0.5602330366786131
弱风日连续天数,弱风日连续天数,white_incidence,白斑病发病株率,120,0.3437534070651255,0.00012102537898924533,0.3510420412814765,8.45636761478359e-05
弱风日连续天数,弱风日连续天数,white_index,白斑病病情指数,120,0.3535760613215784,7.450030265047559e-05,0.4209096409542896,1.6939302962736638e-06
平均短波辐射_7d,平均短波辐射_7d,gray_incidence,灰斑病发病株率,119,-0.2672738126768531,0.0032981408651588974,-0.2398739848012929,0.008599583197114789
平均短波辐射_7d,平均短波辐射_7d,gray_index,灰斑病病情指数,118,-0.3159535781991715,0.0004915446138463645,-0.30103986534651656,0.0009246312005652158
平均短波辐射_7d,平均短波辐射_7d,blight_incidence,大斑病发病株率,121,-0.2719185852440655,0.002551882990018392,-0.23710212556642224,0.008831711005631621
平均短波辐射_7d,平均短波辐射_7d,blight_index,大斑病病情指数,121,-0.270451436016991,0.0026979795229443706,-0.1939522719474623,0.03303854758873898
平均短波辐射_7d,平均短波辐射_7d,white_incidence,白斑病发病株率,120,-0.45258057523483486,2.106062001316316e-07,-0.4123969787907471,2.864177341839048e-06
平均短波辐射_7d,平均短波辐射_7d,white_index,白斑病病情指数,120,-0.4650041041226576,8.760452195597923e-08,-0.4104961442939066,3.2143062854691035e-06
平均短波辐射_28d,平均短波辐射_28d,gray_incidence,灰斑病发病株率,119,-0.32735028029838725,0.00027913600686428467,-0.26364928658884057,0.0037655845913566514
平均短波辐射_28d,平均短波辐射_28d,gray_index,灰斑病病情指数,118,-0.36263211540472745,5.448407746602172e-05,-0.326817573617627,0.00030376554254030023
平均短波辐射_28d,平均短波辐射_28d,blight_incidence,大斑病发病株率,121,-0.3580010067517564,5.539928358753381e-05,-0.33482673647764793,0.00017416570887701112
平均短波辐射_28d,平均短波辐射_28d,blight_index,大斑病病情指数,121,-0.3575189859372278,5.678705235177842e-05,-0.26729424399556234,0.0030382528088770773
平均短波辐射_28d,平均短波辐射_28d,white_incidence,白斑病发病株率,120,-0.5886574332728749,1.5397035417081875e-12,-0.5349811202298168,3.083031540336098e-10
平均短波辐射_28d,平均短波辐射_28d,white_index,白斑病病情指数,120,-0.5908104422718653,1.219430346455245e-12,-0.4969065526328802,7.800815521580828e-09
寡照连续天数,寡照连续天数,gray_incidence,灰斑病发病株率,119,-0.1156546627489145,0.21037527194359049,-0.11742471288212498,0.20343120663745812
寡照连续天数,寡照连续天数,gray_index,灰斑病病情指数,118,-0.10177083853610838,0.2728180909211527,-0.03572155012147353,0.7009582520053926
寡照连续天数,寡照连续天数,blight_incidence,大斑病发病株率,121,0.15861219580486924,0.08227400285643399,0.06485172921724781,0.47974753390546476
寡照连续天数,寡照连续天数,blight_index,大斑病病情指数,121,0.15090527679941723,0.09849305511776142,-0.005175675659347375,0.955069483553018
寡照连续天数,寡照连续天数,white_incidence,白斑病发病株率,120,-0.019522301594477428,0.8323895812922321,0.0426198376152816,0.6439377072728131
寡照连续天数,寡照连续天数,white_index,白斑病病情指数,120,-0.01200027525603162,0.8964990512137274,0.03993089495734031,0.6650036129899853
连续高温天数,连续高温天数,gray_incidence,灰斑病发病株率,119,-0.30624562154963225,0.0007059730971132699,-0.21686059556465864,0.017838011125278407
连续高温天数,连续高温天数,gray_index,灰斑病病情指数,118,-0.30270191954387304,0.0008631629035292352,-0.1715830619604565,0.06319302784107811
连续高温天数,连续高温天数,blight_incidence,大斑病发病株率,121,-0.08956522153036588,0.3285909157562048,-0.08309673377876195,0.3648593676149665
连续高温天数,连续高温天数,blight_index,大斑病病情指数,121,-0.08946857417966134,0.3291152207001585,-0.06871991166168492,0.4538821662540446
连续高温天数,连续高温天数,white_incidence,白斑病发病株率,120,-0.1820052077030734,0.04664068025533955,-0.12499986833973802,0.1737304726962376
连续高温天数,连续高温天数,white_index,白斑病病情指数,120,-0.181448139005611,0.04732769613915065,-0.10306692260612732,0.2626241980381498
连续低温天数,连续低温天数,gray_incidence,灰斑病发病株率,119,0.37589518748723694,2.5220187596875746e-05,0.2816541018594732,0.0019148748058465364
连续低温天数,连续低温天数,gray_index,灰斑病病情指数,118,0.4700796062235543,7.842445980844944e-08,0.5308619847697903,6.260258430835173e-10
连续低温天数,连续低温天数,blight_incidence,大斑病发病株率,121,-0.16231566638658346,0.07528001791841263,-0.08416381492899502,0.3587120999746009
连续低温天数,连续低温天数,blight_index,大斑病病情指数,121,-0.16214051604512209,0.07559962492129332,-0.06638819230662739,0.46937975139519683
