模式,点位编号,点位别名,点位名称,日期,记录编号,同日重复组编号,是否基线点,实际_灰斑病发病株率,实际_灰斑病病情指数,预测_灰斑病发病株率,预测_灰斑病病情指数,实际_灰斑病发病株率风险,预测_灰斑病发病株率风险,实际_灰斑病病情指数风险,预测_灰斑病病情指数风险,实际_综合风险,预测_综合风险,实际_大斑病发病株率,实际_大斑病病情指数,预测_大斑病发病株率,预测_大斑病病情指数,实际_大斑病发病株率风险,预测_大斑病发病株率风险,实际_大斑病病情指数风险,预测_大斑病病情指数风险,实际_白斑病发病株率,实际_白斑病病情指数,预测_白斑病发病株率,预测_白斑病病情指数,实际_白斑病发病株率风险,预测_白斑病发病株率风险,实际_白斑病病情指数风险,预测_白斑病病情指数风险
full_fit,3,S3 宝兴县,宝兴-1,2025-08-01,19,1,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-08-01,29,2,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-08-01,38,3,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-08-01,47,4,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-1,2025-08-08,20,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0017420706572011113,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-08-08,30,2,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0017420706572011113,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-08-08,39,3,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0017420706572011113,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-08-08,48,4,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.00251051876693964,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-1,2025-08-15,21,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-08-15,31,2,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-08-15,40,3,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-08-15,49,4,0,0.0,0.0,0.023297592997550964,0.04521002992987633,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-1,2025-08-25,22,1,0,4.0,0.4444444444444444,4.205216884613037,0.4769694209098816,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.01753843016922474,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-08-25,32,2,0,0.0,0.0,4.205216884613037,0.4769694209098816,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.01753843016922474,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-08-25,41,3,0,10.0,1.1111111111111112,4.205216884613037,0.4769694209098816,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.01753843016922474,低风险,低风险,低风险,低风险
full_fit,3,S3 宝兴县,宝兴-2,2025-08-25,50,4,0,0.0,0.0,0.20962953567504883,0.12678690254688263,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.16803628206253052,0.03607207536697388,低风险,低风险,低风险,低风险
