病害类型,病害中文,特征变量,特征变量中文,基线均值RMSE,置换后均值RMSE,重要性增量RMSE,基线输出1_RMSE,基线输出2_RMSE,置换输出1_RMSE,置换输出2_RMSE,排名
blight,大斑病,7天最大单日降雨_mm,7天最大单日降雨_mm,0.02428738819435239,0.02586408331990242,0.0015766951255500317,0.01169047225266695,0.03688430413603783,0.01165909692645073,0.04006906971335411,1
blight,大斑病,累计降水_28d(mm),累计降水_28d(mm),0.02428738819435239,0.025220252107828856,0.0009328639134764671,0.01169047225266695,0.03688430413603783,0.01167162787169218,0.03876887634396553,2
blight,大斑病,连续适温天数,连续适温天数,0.02428738819435239,0.02494905050843954,0.0006616623140871525,0.01169047225266695,0.03688430413603783,0.011698415502905846,0.038199685513973236,3
blight,大斑病,平均气温℃_14d,平均气温℃_14d,0.02428738819435239,0.024912285152822733,0.0006248969584703445,0.01169047225266695,0.03688430413603783,0.011584431864321232,0.038240138441324234,4
blight,大斑病,平均气温℃_7d,平均气温℃_7d,0.02428738819435239,0.02478580316528678,0.000498414970934391,0.01169047225266695,0.03688430413603783,0.011522485874593258,0.0380491204559803,5
blight,大斑病,连续降雨天数,连续降雨天数,0.02428738819435239,0.024778850842267275,0.0004914626479148865,0.01169047225266695,0.03688430413603783,0.011725538410246372,0.03783216327428818,6
blight,大斑病,7天内高湿天数,7天内高湿天数,0.02428738819435239,0.024776310194283724,0.0004889219999313354,0.01169047225266695,0.03688430413603783,0.011731763370335102,0.037820857018232346,7
blight,大斑病,平均土壤相对湿度_28d,平均土壤相对湿度_28d,0.02428738819435239,0.024751327000558376,0.00046393880620598793,0.01169047225266695,0.03688430413603783,0.011724105104804039,0.037778548896312714,8
blight,大斑病,原始_相对湿度最大值,原始_相对湿度最大值,0.02428738819435239,0.024696664419025183,0.00040927622467279434,0.01169047225266695,0.03688430413603783,0.011690064333379269,0.0377032645046711,9
blight,大斑病,原始_地面气压最大值(kPa),原始_地面气压最大值(kPa),0.02428738819435239,0.0246912338770926,0.0004038456827402115,0.01169047225266695,0.03688430413603783,0.011691254563629627,0.03769121319055557,10
blight,大斑病,连续低温天数,连续低温天数,0.02428738819435239,0.024689279962331057,0.0004018917679786682,0.01169047225266695,0.03688430413603783,0.011691474355757236,0.03768708556890488,11
blight,大斑病,寡照连续天数,寡照连续天数,0.02428738819435239,0.024680991657078266,0.00039360346272587776,0.01169047225266695,0.03688430413603783,0.011693863198161125,0.03766812011599541,12
