模式,点位编号,点位别名,点位名称,日期,记录编号,同日重复组编号,是否基线点,实际_灰斑病发病株率,实际_灰斑病病情指数,预测_灰斑病发病株率,预测_灰斑病病情指数,实际_灰斑病发病株率风险,预测_灰斑病发病株率风险,实际_灰斑病病情指数风险,预测_灰斑病病情指数风险,实际_综合风险,预测_综合风险,实际_大斑病发病株率,实际_大斑病病情指数,预测_大斑病发病株率,预测_大斑病病情指数,实际_大斑病发病株率风险,预测_大斑病发病株率风险,实际_大斑病病情指数风险,预测_大斑病病情指数风险,实际_白斑病发病株率,实际_白斑病病情指数,预测_白斑病发病株率,预测_白斑病病情指数,实际_白斑病发病株率风险,预测_白斑病发病株率风险,实际_白斑病病情指数风险,预测_白斑病病情指数风险
cv_optimized,2,S2 蒙顶山茶南部加工园,蒙顶山茶南部加工园,2025-07-16,18,1,0,0.0,0.0,0.2514439523220062,0.40979284048080444,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.051659658551216125,0.8425262570381165,低风险,低风险,低风险,低风险,0.0,0.0,1.633549451828003,0.3448983132839203,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-1,2025-08-01,19,1,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-08-01,29,2,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-08-01,38,3,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-08-01,47,4,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-1,2025-08-08,20,1,0,0.0,0.0,0.5973528623580933,5.298827648162842,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.015501806512475014,低风险,低风险,低风险,低风险,0.0,0.0,2.838191509246826,1.0869276523590088,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-08-08,30,2,0,0.0,0.0,0.5973528623580933,5.298827648162842,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.015501806512475014,低风险,低风险,低风险,低风险,0.0,0.0,2.838191509246826,1.0869276523590088,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-08-08,39,3,0,0.0,0.0,0.5973528623580933,5.298827648162842,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.015501806512475014,低风险,低风险,低风险,低风险,0.0,0.0,2.838191509246826,1.0869276523590088,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-08-08,48,4,0,0.0,0.0,1.6527411937713623,12.200268745422363,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.009227745234966278,低风险,低风险,低风险,低风险,0.0,0.0,3.0049145221710205,1.1231663227081299,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-1,2025-08-15,21,1,0,0.0,0.0,20.532421112060547,4.052207946777344,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.017286688089370728,0.0033296113833785057,低风险,低风险,低风险,低风险,0.0,0.0,0.39209699630737305,0.3876424729824066,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-08-15,31,2,0,0.0,0.0,20.532421112060547,4.052207946777344,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.017286688089370728,0.0033296113833785057,低风险,低风险,低风险,低风险,0.0,0.0,0.39209699630737305,0.3876424729824066,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-08-15,40,3,0,0.0,0.0,20.532421112060547,4.052207946777344,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.017286688089370728,0.0033296113833785057,低风险,低风险,低风险,低风险,0.0,0.0,0.39209699630737305,0.3876424729824066,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-08-15,49,4,0,0.0,0.0,42.28446960449219,4.365978240966797,低风险,中风险,低风险,低风险,低风险,低风险,0.0,0.0,0.017286688089370728,0.0033296113833785057,低风险,低风险,低风险,低风险,0.0,0.0,0.5940051674842834,0.12523619830608368,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-1,2025-08-25,22,1,0,4.0,0.4444444444444444,0.5217758417129517,2.319286823272705,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.001302229007706046,低风险,低风险,低风险,低风险,0.0,0.0,1.1065539121627808,0.016474924981594086,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-08-25,32,2,0,0.0,0.0,0.5217758417129517,2.319286823272705,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.001302229007706046,低风险,低风险,低风险,低风险,0.0,0.0,1.1065539121627808,0.016474924981594086,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-08-25,41,3,0,10.0,1.1111111111111112,0.5217758417129517,2.319286823272705,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.001302229007706046,低风险,低风险,低风险,低风险,0.0,0.0,1.1065539121627808,0.016474924981594086,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-08-25,50,4,0,0.0,0.0,0.5649775862693787,2.7978315353393555,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.001302229007706046,低风险,低风险,低风险,低风险,0.0,0.0,1.241417407989502,0.012750532478094101,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-1,2025-09-04,23,1,0,24.0,2.8888888888888893,16.334918975830078,6.4518890380859375,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,1.0,0.1111111111111111,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-09-04,33,2,0,22.5,2.5,12.334917068481445,5.988205909729004,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-09-04,42,3,0,50.0,5.555555555555555,22.40378761291504,7.15477991104126,中风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-09-04,51,4,0,70.0,7.777777777777778,7.632657051086426,5.619838237762451,中风险,低风险,低风险,低风险,高风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,95.0,10.555555555555555,0.0,0.0,高风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-1,2025-09-11,24,1,0,31.0,3.888888888888889,41.07546615600586,10.76191520690918,中风险,中风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,2.0,0.6666666666666666,1.0,0.1111111119389534,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-09-11,34,2,0,42.5,6.944444444444445,39.580291748046875,10.55717658996582,中风险,中风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-09-11,43,3,0,70.0,18.88888888888889,67.07546997070312,13.763083457946777,中风险,中风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,30.0,3.3333333333333335,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-09-11,52,4,0,75.0,13.88888888888889,86.92144012451172,15.985801696777344,高风险,高风险,低风险,低风险,高风险,高风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,100.0,33.33333333333333,96.66828155517578,11.154023170471191,高风险,高风险,中风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-1,2025-09-18,25,1,0,42.0,8.0,41.13037109375,11.925983428955078,中风险,中风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0014958152314648032,0.007790855132043362,低风险,低风险,低风险,低风险,23.0,3.2222222222222223,6.097485542297363,0.7387951016426086,低风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-09-18,35,2,0,55.0,12.777777777777777,52.63037109375,15.007814407348633,中风险,中风险,低风险,低风险,中风险,低风险,0.0,0.0,0.0014958152314648032,0.007790855132043362,低风险,低风险,低风险,低风险,57.5,8.61111111111111,4.097485542297363,0.07212841510772705,中风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-09-18,44,3,0,90.0,36.666666666666664,71.96346282958984,27.238401412963867,高风险,高风险,中风险,低风险,中风险,中风险,0.0,0.0,0.0014958152314648032,0.007790855132043362,低风险,低风险,低风险,低风险,70.0,18.88888888888889,33.54475402832031,4.084543228149414,中风险,中风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-09-18,53,4,0,97.5,23.61111111111111,75.0,21.913599014282227,高风险,高风险,低风险,低风险,高风险,高风险,0.0,0.0,0.0014958152314648032,0.0,低风险,低风险,低风险,低风险,100.0,55.55555555555556,100.0,34.226356506347656,高风险,高风险,中风险,中风险
cv_optimized,3,S3 宝兴县,宝兴-1,2025-09-29,26,1,0,60.0,15.777777777777777,42.0,16.16222381591797,中风险,中风险,低风险,低风险,高风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,100.0,28.888888888888893,24.924022674560547,3.222222328186035,高风险,低风险,低风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-09-29,36,2,0,80.0,28.888888888888893,55.0,21.267139434814453,高风险,中风险,低风险,低风险,高风险,中风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,100.0,37.22222222222222,60.170310974121094,8.99321460723877,高风险,中风险,中风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-09-29,45,3,0,90.0,50.0,90.0,45.42994689941406,高风险,高风险,中风险,中风险,高风险,高风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,100.0,42.22222222222222,72.12223052978516,20.482505798339844,高风险,高风险,中风险,低风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-09-29,54,4,0,100.0,41.111111111111114,97.5,32.75623321533203,高风险,高风险,中风险,中风险,高风险,高风险,0.0,0.0,0.0,0.9951747059822083,低风险,低风险,低风险,低风险,100.0,80.0,100.0,66.34297180175781,高风险,高风险,高风险,中风险
cv_optimized,3,S3 宝兴县,宝兴-1,2025-10-09,27,1,0,73.0,25.0,60.0825309753418,22.65230941772461,高风险,中风险,低风险,低风险,高风险,高风险,0.0,0.0,0.4358800947666168,2.4523627758026123,低风险,低风险,低风险,低风险,100.0,47.55555555555556,100.0,39.50621795654297,高风险,高风险,中风险,中风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-10-09,37,2,0,90.0,43.888888888888886,80.1123046875,36.216426849365234,高风险,高风险,中风险,中风险,高风险,高风险,0.0,0.0,0.4358800947666168,2.4523627758026123,低风险,低风险,低风险,低风险,100.0,57.777777777777786,100.0,47.83955001831055,高风险,高风险,中风险,中风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-10-09,46,3,0,100.0,64.44444444444444,90.17848205566406,57.71672058105469,高风险,高风险,中风险,中风险,高风险,高风险,0.0,0.0,0.4358800947666168,2.4523627758026123,低风险,低风险,低风险,低风险,100.0,100.0,100.0,52.829254150390625,高风险,高风险,高风险,中风险
cv_optimized,3,S3 宝兴县,宝兴-2,2025-10-09,55,4,0,100.0,,100.0,49.33537673950195,高风险,高风险,,中风险,高风险,高风险,0.0,0.0,0.4358800947666168,8.295602798461914,低风险,低风险,低风险,低风险,100.0,100.0,100.0,100.0,高风险,高风险,高风险,高风险
cv_optimized,3,S3 宝兴县,宝兴-1,2025-10-20,28,1,0,,,73.0,34.63789367675781,,高风险,,中风险,高风险,高风险,0.0,0.0,0.4199639856815338,0.0,低风险,低风险,低风险,低风险,100.0,58.22222222222222,100.0,70.42050170898438,高风险,高风险,中风险,高风险
cv_optimized,4,S4 新都-长龙,成都市新都区长龙路,2025-06-22,56,1,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,4,S4 新都-长龙,成都市新都区长龙路,2025-06-30,57,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0021156950388103724,低风险,低风险,低风险,低风险,0.0,0.0,0.03635285422205925,0.0,低风险,低风险,低风险,低风险
cv_optimized,4,S4 新都-长龙,成都市新都区长龙路,2025-07-07,58,1,0,0.0,0.0,14.788399696350098,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.014018203131854534,低风险,低风险,低风险,低风险,0.0,0.0,9.343765258789062,0.0,低风险,低风险,低风险,低风险
cv_optimized,4,S4 新都-长龙,成都市新都区长龙路,2025-07-14,59,1,0,0.0,0.0,0.0,0.29456838965415955,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.000631864124443382,低风险,低风险,低风险,低风险,0.0,0.0,1.554997205734253,0.0,低风险,低风险,低风险,低风险
cv_optimized,4,S4 新都-长龙,成都市新都区长龙路,2025-07-21,60,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0004490341816563159,低风险,低风险,低风险,低风险,0.0,0.0,0.003566526807844639,0.0,低风险,低风险,低风险,低风险
cv_optimized,4,S4 新都-长龙,成都市新都区长龙路,2025-07-28,61,1,0,0.0,0.0,0.3272906541824341,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.01464255340397358,0.06408680230379105,低风险,低风险,低风险,低风险
cv_optimized,4,S4 新都-长龙,成都市新都区长龙路,2025-08-04,62,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.23676735162734985,0.09165571630001068,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.05948290228843689,低风险,低风险,低风险,低风险
cv_optimized,4,S4 新都-长龙,成都市新都区长龙路,2025-08-11,63,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0029536550864577293,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.11715537309646606,低风险,低风险,低风险,低风险
cv_optimized,4,S4 新都-长龙,成都市新都区长龙路,2025-08-18,64,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.02670220285654068,0.06429697573184967,低风险,低风险,低风险,低风险,0.0,0.0,0.003879681695252657,0.0,低风险,低风险,低风险,低风险
cv_optimized,4,S4 新都-长龙,成都市新都区长龙路,2025-08-25,65,1,0,0.0,0.0,0.7850769758224487,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.052277930080890656,0.07339951395988464,低风险,低风险,低风险,低风险,0.0,0.0,0.05753738805651665,0.23232689499855042,低风险,低风险,低风险,低风险
cv_optimized,5,S5 新都-红花堰,成都市新都区红花堰,2025-06-22,66,1,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,5,S5 新都-红花堰,成都市新都区红花堰,2025-06-30,67,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.2766314744949341,0.0,低风险,低风险,低风险,低风险
cv_optimized,5,S5 新都-红花堰,成都市新都区红花堰,2025-07-07,68,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.05189383029937744,0.15863901376724243,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,5,S5 新都-红花堰,成都市新都区红花堰,2025-07-14,69,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.12593120336532593,0.0,低风险,低风险,低风险,低风险
cv_optimized,5,S5 新都-红花堰,成都市新都区红花堰,2025-07-21,70,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.22034011781215668,低风险,低风险,低风险,低风险
cv_optimized,5,S5 新都-红花堰,成都市新都区红花堰,2025-07-28,71,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.004334188997745514,低风险,低风险,低风险,低风险
cv_optimized,5,S5 新都-红花堰,成都市新都区红花堰,2025-08-04,72,1,0,0.0,0.0,0.42157918214797974,0.0,低风险,低风险,低风险,低风险,低风险,低风险,3.0,0.33333,0.0,0.44451478123664856,低风险,低风险,低风险,低风险,0.0,0.0,0.0723985955119133,0.0,低风险,低风险,低风险,低风险
cv_optimized,5,S5 新都-红花堰,成都市新都区红花堰,2025-08-11,73,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,3.0,0.33333,3.0,0.333329975605011,低风险,低风险,低风险,低风险,0.0,0.0,0.09873881936073303,0.1266496181488037,低风险,低风险,低风险,低风险
cv_optimized,5,S5 新都-红花堰,成都市新都区红花堰,2025-08-18,74,1,0,0.0,0.0,0.11080077290534973,0.0,低风险,低风险,低风险,低风险,低风险,低风险,3.0,0.33333,3.0,0.333329975605011,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,5,S5 新都-红花堰,成都市新都区红花堰,2025-08-25,75,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,3.0,0.33333,3.0,0.333329975605011,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,5,S5 新都-红花堰,成都市新都区红花堰,2025-09-01,76,1,0,0.0,0.0,0.027287553995847702,0.19483289122581482,低风险,低风险,低风险,低风险,低风险,低风险,3.0,0.33333,3.9549264907836914,0.333329975605011,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.31323617696762085,低风险,低风险,低风险,低风险
cv_optimized,6,S6 泸定-燕子沟,泸定县燕子沟麻柳林村,2025-07-30,77,1,1,85.0,13.222222222222221,85.0,13.222222222222221,高风险,高风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,6,S6 泸定-燕子沟,泸定县燕子沟麻柳林村,2025-08-07,78,1,0,100.0,16.444444444444446,86.91035461425781,27.515092849731445,高风险,高风险,低风险,低风险,低风险,低风险,0.0,0.0,2.878025770187378,0.05326557904481888,低风险,低风险,低风险,低风险,0.0,0.0,5.233014106750488,0.504494845867157,低风险,低风险,低风险,低风险
cv_optimized,6,S6 泸定-燕子沟,泸定县燕子沟麻柳林村,2025-08-14,79,1,0,100.0,33.33333333333333,100.0,33.168582916259766,高风险,高风险,中风险,中风险,低风险,低风险,0.0,0.0,2.55253267288208,0.0,低风险,低风险,低风险,低风险,0.0,0.0,5.665060520172119,0.0,低风险,低风险,低风险,低风险
cv_optimized,6,S6 泸定-燕子沟,泸定县燕子沟麻柳林村,2025-08-21,80,1,0,100.0,44.0,100.0,46.73545837402344,高风险,高风险,中风险,中风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,7.411784648895264,0.509423017501831,低风险,低风险,低风险,低风险
cv_optimized,6,S6 泸定-燕子沟,泸定县燕子沟麻柳林村,2025-08-29,81,1,0,100.0,57.55555555555555,100.0,62.470054626464844,高风险,高风险,中风险,中风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,7.313309669494629,4.3587422370910645,低风险,低风险,低风险,低风险
