模式,目标变量,目标变量中文,样本数,平均绝对误差,均方根误差,决定系数R2
cv_optimized,gray_incidence,灰斑病发病株率,103,6.763303288376158,15.26002811400306,0.8871165301534576
cv_optimized,gray_index,灰斑病病情指数,102,3.5929237872287056,5.924184577045311,0.937153597471625
cv_optimized,blight_incidence,大斑病发病株率,105,0.27388166743108916,1.169047231171867,0.9984080146290416
cv_optimized,blight_index,大斑病病情指数,105,1.120001397234535,3.6884303131609837,0.9512708640435231
cv_optimized,white_incidence,白斑病发病株率,104,7.869400132478824,20.637766655362466,0.7273772980816625
cv_optimized,white_index,白斑病病情指数,104,4.145635657098032,8.928761869313353,0.8294398196193133
