点位编号,点位名称,日期,原始_10m风速均值,原始_10m风速最大值,原始_10m风速最小值,原始_24小时最大降水量,原始_24小时最小降水量,原始_24小时降水量之和,原始_相对湿度均值,原始_相对湿度最大值,原始_相对湿度最小值,原始_2m气温均值(℃),原始_2m气温最大值(℃),原始_2m气温最小值(℃),原始_土壤湿度,原始_地表温度均值(℃),原始_地表温度最大值(℃),原始_地表温度最小值(℃),原始_地面气压均值(kPa),原始_地面气压最大值(kPa),原始_地面气压最小值(kPa),原始_短波辐射均值,原始_短波辐射最大值,原始_短波辐射最小值,原始_0-10cm土壤相对湿度,原始_5cm土壤温度(℃),有效积温_GDD,累计降水_7d(mm),累计降水_14d(mm),rain_21d_sum,rain_28d_sum,连续降雨天数,降雨间歇长度(天),平均气温℃_7d,平均气温℃_14d,平均气温℃_21d,temp_28d_mean,24h温差℃,平均相对湿度_7d,平均相对湿度_14d,平均相对湿度_21d,rh_28d_mean,湿度日较差,平均土壤相对湿度_14d,平均土壤相对湿度_7d,平均土壤相对湿度_21d,soil_rel_humidity_28d_mean,平均短波辐射_7d,radiation_28d_mean,平均风速_7d,wind_28d_mean,是否弱风日,弱风日连续天数,寡照连续天数,站点低温阈值(℃),站点高温阈值(℃),连续高温天数,连续低温天数,连续适温天数,连续高湿天数,连续较高湿度天数,7天内高湿天数,high_humidity_28d_count,7天内强降雨次数,heavy_rain_28d_count,连续强降雨次数,7天最大单日降雨_mm,max_single_day_rain_28d,连续高温高湿天数,连续适温高湿天数,连续弱风高湿天数
1,周公山镇余家村,2025-03-23,0.9257006645202637,1.705627679824829,0.3973539173603058,0.0,0.0,0.0,57.144187927246094,100.0,25.564014434814453,14.628840446472168,23.239620208740234,7.218800067901611,0.2871610224246979,14.547900199890137,27.32662010192871,5.912399768829346,92.61734008789062,93.20962524414062,92.07539367675781,199.92861938476562,962.1445922851562,0.0,79.30662536621094,13.708499908447266,4.628840446472168,0.0,0.0,0.0,0.0,0.0,1.0,14.628840446472168,14.628840446472168,14.628840446472168,14.628840446472168,16.02082061767578,57.144187927246094,57.144187927246094,57.144187927246094,57.144187927246094,74.43598937988281,79.30662536621094,79.30662536621094,79.30662536621094,79.30662536621094,199.92861938476562,199.92861938476562,0.9257006645202637,0.9257006645202637,1.0,1.0,0.0,18.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,周公山镇余家村,2025-03-24,0.7864706516265869,1.749962329864502,0.2071191817522049,0.0,0.0,0.0,60.70640182495117,100.0,28.37969970703125,15.99470043182373,25.227699279785156,8.405570030212402,0.27713072299957275,18.068439483642578,32.155540466308594,7.643459796905518,91.85244750976562,92.31198120117188,91.36917877197266,295.6740417480469,1010.8639526367188,0.0,76.53651428222656,16.898099899291992,10.623540878295898,0.0,0.0,0.0,0.0,0.0,2.0,15.31177043914795,15.31177043914795,15.31177043914795,15.31177043914795,16.822128295898438,58.92529296875,58.92529296875,58.92529296875,58.92529296875,71.62030029296875,77.92156982421875,77.92156982421875,77.92156982421875,77.92156982421875,247.80133056640625,247.80133056640625,0.8560856580734253,0.8560856580734253,1.0,2.0,0.0,18.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,周公山镇余家村,2025-03-25,0.6939387321472168,1.1934661865234375,0.13648900389671326,0.0,0.0,0.0,62.25568389892578,100.0,29.4942569732666,17.893800735473633,27.42020034790039,10.103079795837402,0.2689031660556793,20.439599990844727,34.67250061035156,10.130760192871094,91.0014419555664,91.52166748046875,90.48770141601562,311.4293518066406,1046.7576904296875,0.0,74.26427459716797,19.168479919433594,18.51734161376953,0.0,0.0,0.0,0.0,0.0,3.0,16.172447204589844,16.172447204589844,16.172447204589844,16.172447204589844,17.317119598388672,60.03541946411133,60.03541946411133,60.03541946411133,60.03541946411133,70.50574493408203,76.70247650146484,76.70247650146484,76.70247650146484,76.70247650146484,269.0106506347656,269.0106506347656,0.802036702632904,0.802036702632904,1.0,3.0,0.0,18.0,28.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,周公山镇余家村,2025-03-26,0.7169894576072693,1.6815210580825806,0.19003142416477203,0.0,0.0,0.0,62.937599182128906,100.0,32.3298225402832,19.539199829101562,28.22447967529297,12.232139587402344,0.26235008239746094,22.189260482788086,36.27531814575195,11.917539596557617,90.69905090332031,90.96788024902344,90.53163146972656,305.6595764160156,1040.7633056640625,0.0,72.4544677734375,20.923099517822266,28.056541442871094,0.0,0.0,0.0,0.0,0.0,4.0,17.014135360717773,17.014135360717773,17.014135360717773,17.014135360717773,15.992340087890625,60.760963439941406,60.760963439941406,60.760963439941406,60.760963439941406,67.67018127441406,75.64047241210938,75.64047241210938,75.64047241210938,75.64047241210938,278.1728820800781,278.1728820800781,0.7807748913764954,0.7807748913764954,1.0,4.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,周公山镇余家村,2025-03-27,1.467069149017334,2.2903177738189697,0.44606858491897583,0.0,0.0,0.0,40.18125915527344,95.89857482910156,14.765357971191406,19.69683074951172,27.005029678344727,12.627300262451172,0.257087379693985,20.858060836791992,34.596099853515625,9.534449577331543,92.07005310058594,93.04505920410156,91.00736999511719,280.5688171386719,967.128173828125,0.0,71.00104522705078,20.197559356689453,37.75337219238281,0.0,0.0,0.0,0.0,0.0,5.0,17.550674438476562,17.550674438476562,17.550674438476562,17.550674438476562,14.377729415893555,56.64501953125,56.64501953125,56.64501953125,56.64501953125,81.13321685791016,74.71258544921875,74.71258544921875,74.71258544921875,74.71258544921875,278.6520690917969,278.6520690917969,0.91803377866745,0.91803377866745,1.0,5.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,周公山镇余家村,2025-03-28,0.986596405506134,1.4958646297454834,0.3521052300930023,0.9028581380844116,0.0,0.9028581380844116,52.83084487915039,77.76176452636719,32.019134521484375,8.758480072021484,12.312250137329102,6.292379856109619,0.26657232642173767,8.628780364990234,14.177450180053711,3.937459945678711,93.07144165039062,93.29762268066406,92.81573486328125,76.92123413085938,278.1324157714844,0.0,73.62055206298828,10.06173038482666,37.75337219238281,0.9028581380844116,0.9028581380844116,0.9028581380844116,0.9028581380844116,1.0,0.0,16.085309982299805,16.085309982299805,16.085309982299805,16.085309982299805,6.019870281219482,56.00932312011719,56.00932312011719,56.00932312011719,56.00932312011719,45.74263000488281,74.53057861328125,74.53057861328125,74.53057861328125,74.53057861328125,245.0302734375,245.0302734375,0.9294609427452087,0.9294609427452087,1.0,6.0,1.0,18.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9028581380844116,0.9028581380844116,0.0,0.0,0.0
1,周公山镇余家村,2025-03-29,0.7355021238327026,1.3223440647125244,0.14782755076885223,0.5055972933769226,0.0,0.7175588607788086,73.1034164428711,92.90899658203125,54.18248748779297,7.055140018463135,8.878600120544434,5.299699783325195,0.27379682660102844,7.677639961242676,13.872429847717285,3.0825400352478027,93.25527954101562,93.41244506835938,92.9646224975586,103.15777587890625,372.0088806152344,0.0,75.61576843261719,8.449760437011719,37.75337219238281,1.6204169988632202,1.6204169988632202,1.6204169988632202,1.6204169988632202,2.0,0.0,14.79528522491455,14.79528522491455,14.79528522491455,14.79528522491455,3.5789003372192383,58.45133590698242,58.45133590698242,58.45133590698242,58.45133590698242,38.72650909423828,74.68560791015625,74.68560791015625,74.68560791015625,74.68560791015625,224.7627716064453,224.7627716064453,0.9017525315284729,0.9017525315284729,1.0,7.0,0.0,18.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9028581380844116,0.9028581380844116,0.0,0.0,0.0
1,周公山镇余家村,2025-03-30,0.557579755783081,1.337167501449585,0.022543398663401604,0.0,0.0,0.0,73.56099700927734,100.0,49.57004165649414,8.28966999053955,11.317440032958984,5.988120079040527,0.2739335596561432,8.892939567565918,17.124399185180664,3.3952600955963135,93.16058349609375,93.53180694580078,92.84944152832031,136.89183044433594,544.597412109375,0.0,75.6535415649414,9.151000022888184,37.75337219238281,1.6204169988632202,1.6204169988632202,1.6204169988632202,1.6204169988632202,0.0,1.0,13.889688491821289,13.98208236694336,13.98208236694336,13.98208236694336,5.329319953918457,60.79660415649414,60.340049743652344,60.340049743652344,60.340049743652344,50.42995834350586,74.80660247802734,74.16374206542969,74.80660247802734,74.80660247802734,215.75753784179688,213.77891540527344,0.8491637110710144,0.8587309122085571,1.0,8.0,0.0,18.0,28.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9028581380844116,0.9028581380844116,0.0,0.0,0.0
1,周公山镇余家村,2025-03-31,0.6259850859642029,1.158405065536499,0.0619918517768383,0.9739282727241516,0.0,4.146510124206543,89.22610473632812,100.0,76.25163269042969,7.364299774169922,8.341699600219727,6.6869001388549805,0.28606298565864563,6.991700172424316,11.750399589538574,3.580899953842163,93.08489227294922,93.29261016845703,92.8755874633789,76.66744995117188,282.8450012207031,0.0,79.00337982177734,7.452700138092041,37.75337219238281,5.766927242279053,5.766927242279053,5.766927242279053,5.766927242279053,1.0,0.0,12.656773567199707,13.246773719787598,13.246773719787598,13.246773719787598,1.654799461364746,64.87084197998047,63.54961395263672,63.54961395263672,63.54961395263672,23.748367309570312,75.27291107177734,74.51615142822266,75.27291107177734,75.27291107177734,184.4708709716797,198.5443115234375,0.8262372612953186,0.8328702449798584,1.0,9.0,1.0,18.0,28.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.146510124206543,4.146510124206543,0.0,0.0,0.0
1,周公山镇余家村,2025-04-01,0.8017880916595459,1.5119702816009521,0.06909994781017303,0.0,0.0,0.0,78.56265258789062,100.0,54.59941101074219,10.2501802444458,13.69612979888916,7.736199855804443,0.28433743119239807,10.16469955444336,18.7637996673584,4.579160213470459,92.97212219238281,93.06355285644531,92.80728912353516,133.27786254882812,552.4873046875,0.0,78.52682495117188,9.89894962310791,38.0035514831543,5.766927242279053,5.766927242279053,5.766927242279053,5.766927242279053,0.0,1.0,11.564828872680664,12.947114944458008,12.947114944458008,12.947114944458008,5.959929943084717,67.2004165649414,65.05091857910156,65.05091857910156,65.05091857910156,45.40058898925781,75.59830474853516,75.12508392333984,75.59830474853516,75.59830474853516,159.02064514160156,192.01766967773438,0.841644287109375,0.8297621011734009,1.0,10.0,0.0,18.0,28.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.146510124206543,4.146510124206543,0.0,0.0,0.0
