fold,date,group,actual,pred,pred_monotone
4,2025-07-31,泸定泸桥镇海子坪村1,0.2866666666666667,0.4023488163948059,0.4023488163948059
4,2025-08-07,泸定泸桥镇海子坪村1,0.32,0.4158984422683716,0.4158984422683716
4,2025-08-14,泸定泸桥镇海子坪村1,0.4311111111111112,0.43916910886764526,0.43916910886764526
4,2025-08-21,泸定泸桥镇海子坪村1,0.47444444444444445,0.5534442663192749,0.5534442663192749
4,2025-08-28,泸定泸桥镇海子坪村1,0.47888888888888886,0.6772204041481018,0.6772204041481018
4,2025-09-05,泸定泸桥镇海子坪村1,0.5166666666666667,0.6542021036148071,0.6772204041481018
4,2025-09-12,泸定泸桥镇海子坪村1,0.6000000000000001,0.6796372532844543,0.6796372532844543
4,2025-09-18,泸定泸桥镇海子坪村1,0.62,0.6462979912757874,0.6796372532844543
