fold,date,group,actual,pred
3,2025-08-05,德宏勐嘎-2_垦丰680,0.0,0.018645447
3,2025-08-13,德宏勐嘎-2_垦丰680,0.35,0.056541502
3,2025-08-19,德宏勐嘎-2_垦丰680,1.0,0.5792628
3,2025-08-26,德宏勐嘎-2_垦丰680,1.0,1.0
3,2025-09-01,德宏勐嘎-2_垦丰680,1.0,1.0
