fold,date,group,actual,pred,pred_monotone
3,2025-08-01,宝兴-2_白K888,0.0,0.0,0.0
3,2025-08-08,宝兴-2_白K888,0.0,0.013752024620771408,0.013752024620771408
3,2025-08-15,宝兴-2_白K888,0.0,0.06769248098134995,0.06769248098134995
3,2025-08-25,宝兴-2_白K888,0.225,0.4716099798679352,0.4716099798679352
3,2025-09-04,宝兴-2_白K888,0.425,0.3777770400047302,0.4716099798679352
3,2025-09-11,宝兴-2_白K888,0.55,0.7379030585289001,0.7379030585289001
3,2025-09-18,宝兴-2_白K888,0.8,0.7052752375602722,0.7379030585289001
3,2025-09-29,宝兴-2_白K888,0.9,0.9750862717628479,0.9750862717628479
