模型,病害,评估目标,排名,主排序指标,feature,xgb_imp,spearman_corr,perm_imp,shap_imp
灰斑病_rate,灰斑病,发病株率,7,shap_imp,平均短波辐射21d,0.011737553,-0.3041662248386945,0.0383292727057329,1.64437
灰斑病_rate,灰斑病,发病株率,8,shap_imp,0-10cm土壤相对湿度(percent),0.028876508,-0.0328745790390813,0.0121744478701675,1.622041
灰斑病_rate,灰斑病,发病株率,9,shap_imp,土壤湿度(m3 m-3),0.0067965644,0.2323474154355068,0.0141428429598067,1.4923035
灰斑病_rate,灰斑病,发病株率,10,shap_imp,平均相对湿度_21d,0.00928568,0.3893436900638209,0.0194577006962831,1.3777968
灰斑病_rate,灰斑病,发病株率,11,shap_imp,10m风速平均值(m/s),0.001809176,0.2146714228256495,0.0032042141354114,1.2716751
灰斑病_rate,灰斑病,发病株率,12,shap_imp,弱风日连续天数,0.013415877,0.2064221247141226,0.002858580124016,1.2601494
灰斑病_rate,灰斑病,发病株率,13,shap_imp,过去7天最低湿度_%,0.01780051,0.3053573298061696,0.0163683976210807,1.2549179
灰斑病_rate,灰斑病,发病株率,14,shap_imp,累计降水_21d,0.014904036,0.085451437557683,0.0049806553203368,1.1563257
灰斑病_rate,灰斑病,发病株率,15,shap_imp,平均相对湿度_14d,0.009432315,0.3340886879221358,0.0059440740235019,1.0888858
灰斑病_rate,灰斑病,发病株率,16,shap_imp,过去21天有效积温_C,0.015730001,-0.5735036399568503,0.0149386307843307,1.0276357
灰斑病_rate,灰斑病,发病株率,17,shap_imp,过去7天最低气温_C,0.009908993,-0.5501263473651583,0.0066354890023136,0.9338226
灰斑病_rate,灰斑病,发病株率,18,shap_imp,2m比湿平均值(kg/kg),0.0058283466,-0.371444002074431,0.0140870887397583,0.89558995
灰斑病_rate,灰斑病,发病株率,19,shap_imp,过去7天平均风速_ms,0.032258518,0.2273633380196478,0.000885625664031,0.8731563
灰斑病_rate,灰斑病,发病株率,20,shap_imp,平均气温C_7d,0.0034216463,-0.6294345408168559,0.0056220115754132,0.83783096
灰斑病_index,灰斑病,病情指数,1,shap_imp,平均气温C_7d,0.08300989,-0.679933310391569,0.0837260302074249,3.0728443
灰斑病_index,灰斑病,病情指数,2,shap_imp,地表温度最低_C,0.057305098,-0.6824987057593909,0.073173839694384,2.8694654
灰斑病_index,灰斑病,病情指数,3,shap_imp,平均风速_21d,0.0511888,0.2107474858645942,0.0616446382078505,2.0034144
灰斑病_index,灰斑病,病情指数,4,shap_imp,平均气温C_14d,0.064498246,-0.6797563749209172,0.0188673121061655,1.8231366
灰斑病_index,灰斑病,病情指数,5,shap_imp,土壤温度_C,0.09357948,-0.7171134724676765,0.0247811484268904,1.6200373
灰斑病_index,灰斑病,病情指数,6,shap_imp,地表温度平均_C,0.07678109,-0.7074385981371385,0.0097950919836385,1.4950635
灰斑病_index,灰斑病,病情指数,7,shap_imp,连续发病适温天数,0.13297379,0.013875668049457,0.0467192776326037,1.0554507
灰斑病_index,灰斑病,病情指数,8,shap_imp,弱风日连续天数,0.0118680345,0.2661954281746072,0.0192949281432529,1.045474
灰斑病_index,灰斑病,病情指数,9,shap_imp,平均短波辐射21d,0.006896065,-0.3376318937198476,0.0289669186327312,0.924797
灰斑病_index,灰斑病,病情指数,10,shap_imp,过去7天最高气温_C,0.016129822,-0.6120312282558382,0.0175710831219842,0.8937473
灰斑病_index,灰斑病,病情指数,11,shap_imp,平均气温C_21d,0.013163825,-0.6850554477642843,0.0154890778189126,0.8686296
灰斑病_index,灰斑病,病情指数,12,shap_imp,气温最低_C,0.009354677,-0.6585827222964165,-0.000773136254296,0.6934224
灰斑病_index,灰斑病,病情指数,13,shap_imp,7天最大单日降雨_mm,0.010512204,-0.013640246331689,0.0120780794991551,0.6819253
灰斑病_index,灰斑病,病情指数,14,shap_imp,平均相对湿度_14d,0.020433506,0.3332687163922965,0.0259441986290793,0.64866674
灰斑病_index,灰斑病,病情指数,15,shap_imp,过去21天有效积温_C,0.0068756146,-0.6104372555556364,0.0054348085433054,0.64584076
灰斑病_index,灰斑病,病情指数,16,shap_imp,0-10cm土壤相对湿度(percent),0.01304047,-0.0080522907460441,0.0043651523969747,0.64226866
灰斑病_index,灰斑病,病情指数,17,shap_imp,过去7天最低湿度_%,0.010012243,0.2865083400211667,0.0105643221349821,0.6339446
灰斑病_index,灰斑病,病情指数,18,shap_imp,平均风速_7d,0.010738874,0.2235036390307858,0.004458461457167,0.5378931
灰斑病_index,灰斑病,病情指数,19,shap_imp,平均相对湿度_21d,0.009336306,0.392577743048369,0.003450582369348,0.5316419
灰斑病_index,灰斑病,病情指数,20,shap_imp,10m风速平均值(m/s),0.0013985027,0.2241264769639799,0.0073320652162502,0.5236784
白斑病_rate,白斑病,发病株率,1,shap_imp,平均相对湿度_21d,0.0827611,0.5163523849247067,0.2269462717226656,10.196635
白斑病_rate,白斑病,发病株率,2,shap_imp,平均短波辐射21d,0.04887222,-0.5793327815007996,0.030885043461402,4.780414
白斑病_rate,白斑病,发病株率,3,shap_imp,弱风日连续天数,0.07577684,0.3143817025924125,0.051770765768987,3.106134
白斑病_rate,白斑病,发病株率,4,shap_imp,21天内高湿80天数,0.22768793,0.5400745475589259,0.0106640949478534,2.926334
白斑病_rate,白斑病,发病株率,5,shap_imp,过去7天最低气温_C,0.08581243,-0.2554851663938867,0.0438439847890281,2.7360108
白斑病_rate,白斑病,发病株率,6,shap_imp,平均气温C_21d,0.038846616,-0.4403210320728461,0.0336565648166108,2.3077102
白斑病_rate,白斑病,发病株率,7,shap_imp,10m风速平均值(m/s),0.0047867065,-0.0083177435856137,0.0409221792359657,2.1865408
白斑病_rate,白斑病,发病株率,8,shap_imp,2m比湿平均值(kg/kg),0.023765538,-0.2617119783516392,0.0181193531916982,1.9645617
白斑病_rate,白斑病,发病株率,9,shap_imp,2m比湿最小值(kg/kg),0.029681258,-0.2139196368332758,0.0015368003373235,1.6340806
白斑病_rate,白斑病,发病株率,10,shap_imp,平均气温C_7d,0.006811063,-0.405374470878923,0.0203382693880317,1.4799756
白斑病_rate,白斑病,发病株率,11,shap_imp,21天内高湿90天数,0.05101488,0.4612014837466276,0.0251737359031614,1.3657509
白斑病_rate,白斑病,发病株率,12,shap_imp,连续高湿80天数,0.007512544,0.4157809168165874,0.0240201877477359,1.3011674
白斑病_rate,白斑病,发病株率,13,shap_imp,过去21天有效积温_C,0.005212778,-0.3944489233755738,0.0100255279789666,0.9246356
白斑病_rate,白斑病,发病株率,14,shap_imp,平均土壤相对湿度_7d,0.013336183,0.1579077672378152,-0.0053196529289274,0.7882831
白斑病_rate,白斑病,发病株率,15,shap_imp,气温最低_C,0.006829471,-0.2964801948247593,0.0017639691737945,0.72822607
白斑病_rate,白斑病,发病株率,16,shap_imp,累计降水_14d,0.0096384315,0.0674982799211484,-0.0057205393796641,0.7120183
白斑病_rate,白斑病,发病株率,17,shap_imp,地表温度最低_C,0.0057365876,-0.2200742728468803,-0.0082057327428855,0.6805701
白斑病_rate,白斑病,发病株率,18,shap_imp,2m比湿最大值(kg/kg),0.0047644344,-0.3207712705919359,0.0098659843910847,0.6136696
白斑病_rate,白斑病,发病株率,19,shap_imp,过去7天最高气温_C,0.0032412128,-0.4765165455234886,0.0076124020187165,0.56422615
白斑病_rate,白斑病,发病株率,20,shap_imp,地表温度平均_C,0.005044774,-0.2954984854371174,-0.0073398296044794,0.5564965
白斑病_index,白斑病,病情指数,1,shap_imp,平均气温C_21d,0.057871852,-0.4407747619086285,0.0861188922921885,2.6478648
白斑病_index,白斑病,病情指数,2,shap_imp,平均短波辐射21d,0.08308042,-0.5816344807708386,0.0552336900237918,2.3426838
白斑病_index,白斑病,病情指数,3,shap_imp,10m风速平均值(m/s),0.00940468,-0.0121208348425891,0.0770587787829641,1.475044
白斑病_index,白斑病,病情指数,4,shap_imp,平均相对湿度_21d,0.03673742,0.5098337555853593,0.0185837548851796,1.3762276
白斑病_index,白斑病,病情指数,5,shap_imp,平均短波辐射7d,0.061773133,-0.483394121092375,0.0379513565915663,1.3114403
白斑病_index,白斑病,病情指数,6,shap_imp,过去21天有效积温_C,0.019287402,-0.3941175764543397,0.0122961921348877,1.2466321
白斑病_index,白斑病,病情指数,7,shap_imp,连续高湿80天数,0.023774976,0.4089744497675499,0.0802388132727516,1.0720038
白斑病_index,白斑病,病情指数,8,shap_imp,平均相对湿度_14d,0.052899126,0.4650391383450851,0.0082933484090401,0.7076666
