连续适温天数分箱,样本数,灰斑病发病株率_均值,灰斑病发病株率_中位数,灰斑病发病株率_非零比例,灰斑病病情指数_均值,灰斑病病情指数_中位数,灰斑病病情指数_非零比例,大斑病发病株率_均值,大斑病发病株率_中位数,大斑病发病株率_非零比例,大斑病病情指数_均值,大斑病病情指数_中位数,大斑病病情指数_非零比例,白斑病发病株率_均值,白斑病发病株率_中位数,白斑病发病株率_非零比例,白斑病病情指数_均值,白斑病病情指数_中位数,白斑病病情指数_非零比例
0天,59,41.53448275862069,0.0,0.4406779661016949,18.013409961685817,0.0,0.4406779661016949,10.59322033898305,0.0,0.13559322033898305,3.3841807344632775,0.0,0.13559322033898305,11.864406779661017,0.0,0.11864406779661017,5.4086629001883235,0.0,0.11864406779661017
1–2天,28,44.55357142857143,21.0,0.5,17.6358024691358,0.0,0.4642857142857143,8.285714285714286,0.0,0.21428571428571427,3.960317222222222,0.0,0.21428571428571427,37.482142857142854,0.0,0.42857142857142855,18.351190476190478,0.0,0.42857142857142855
3–4天,5,25.0,0.0,0.2,14.444444444444446,0.0,0.2,40.6,3.0,0.6,31.177777111111112,0.33333,0.6,25.0,0.0,0.2,14.444444444444446,0.0,0.2
5–6天,13,46.11538461538461,35.0,0.7692307692307693,12.346153846153847,4.111111111111112,0.7692307692307693,15.384615384615385,0.0,0.15384615384615385,5.632478632478633,0.0,0.15384615384615385,9.538461538461538,0.0,0.23076923076923078,1.0598290598290598,0.0,0.23076923076923078
7–9天,9,1.5555555555555556,0.0,0.2222222222222222,0.1728395061728395,0.0,0.2222222222222222,3.2222222222222223,0.0,0.2222222222222222,0.5555555555555556,0.0,0.2222222222222222,22.11111111111111,0.0,0.2222222222222222,8.197530864197532,0.0,0.2222222222222222
≥10天,7,45.5,42.5,0.7142857142857143,12.38888888888889,6.944444444444445,0.7142857142857143,0.42857142857142855,0.0,0.14285714285714285,0.047618571428571434,0.0,0.14285714285714285,18.857142857142858,0.0,0.42857142857142855,5.333333333333333,0.0,0.42857142857142855
